item_code,description,unit,total_quantity,total_cost,average_low_bid_price,average_three_lowest_bids,bid_count,source_page
510E3401,"HP 12x53 Steel Test Pile, Furnish and Drive",Ft,1625,190370,117.15,98.88,6,17
510E3405,"HP 12x53 Steel Bearing Pile, Furnish and Drive",Ft,20630,1386708,67.22,65.44,6,17
510E3421,"HP 12x74 Steel Test Pile, Furnish and Drive",Ft,280,52200.4,186.43,152.91,1,17
510E3425,"HP 12x74 Steel Bearing Pile, Furnish and Drive",Ft,2080,225451.2,108.39,111.88,1,17
510E3521,"HP 14x73 Steel Test Pile, Furnish and Drive",Ft,260,26182,100.7,94.63,1,17
510E3525,"HP 14x73 Steel Bearing Pile, Furnish and Drive",Ft,5180,466718,90.1,86.8,1,17
510E3551,"HP 14x117 Steel Test Pile, Furnish and Drive",Ft,140,17500,125,138.33,1,17
510E3555,"HP14x117 Steel Bearing Pile, Furnish and Drive",Ft,780,82680,106,118.67,1,17
510E3851,"16""x0.25"" Steel Pipe Test Pile, Furnish and Drive",Ft,355,45500,128.17,117.02,2,17
510E3855,"16""x0.25"" Steel Pipe Bearing Pile, Furnish and Drive",Ft,4100,344800,84.1,85.68,2,17
510E3861,"16""x0.375"" Steel Pipe Test Pile, Furnish and Drive",Ft,340,43650,128.38,147.7,2,17
510E3865,"16""x0.375"" Steel Pipe Bearing Pile, Furnish and Drive",Ft,1770,198360,112.07,119.59,2,17
530E0300,Type C Concrete Retaining Wall,SqFt,235,26549.55,112.98,136.68,2,17
530E0420,"MSE Large Panel Wall, Furnish",SqFt,18713,1382703.57,73.89,75.84,1,17
530E0422,"MSE Large Panel Wall, Install",SqFt,18713,833102.76,44.52,46.97,1,17
530E0470,Gravity Large Concrete Block Wall,SqFt,5410,387634.46,71.65,78.3,2,17
530E0702,Granular Backfill for MSE Large Panel Wall,CuYd,11919.1,1018801.76,85.48,70.61,2,17
530E0718,Granular Backfill for Gravity Large Concrete Block Wall,CuYd,720.8,39739.72,55.13,61.88,2,17
550E0010,Low Slump Dense Concrete Bridge Deck Overlay,CuYd,743,412953.25,555.79,544.6,3,17
550E0100,Concrete Removal Type 1A,SqYd,10028.7,329935.5,32.9,34.92,3,17
550E0105,Concrete Removal Type 2A,SqYd,262.6,3939,15,14.5,1,17
550E0110,Concrete Removal Type 1B,SqYd,936,212910,227.47,255.03,3,17
550E0120,Concrete Removal Type 1C,SqYd,467.9,117277.05,250.65,273.7,3,18
550E0130,Concrete Removal Type 1D,SqYd,467.9,45428,97.09,81.94,3,18
550E0140,Concrete Removal Type B,Ft,140,1960,14,13.44,3,18
550E0200,Class A45 Concrete Fill,CuYd,113.1,72270.86,639,530.37,3,18
550E0500,Finishing and Curing,SqYd,10028.7,805465.8,80.32,95.47,3,18
560E0116,"9'x8' Precast Concrete Box Culvert, Furnish",Ft,216,193922.64,897.79,920.83,1,18
560E0117,"9'x8' Precast Concrete Box Culvert, Install",Ft,216,49896,231,372.39,1,18
560E0118,"9'x9' Precast Concrete Box Culvert, Furnish",Ft,76,83600,1100,1116.67,1,18
560E0119,"9'x9' Precast Concrete Box Culvert, Install",Ft,76,41800,550,393.33,1,18
560E0134,"10'x6' Precast Concrete Box Culvert, Furnish",Ft,42,43457.82,1034.71,1504.9,1,18
560E0135,"10'x6' Precast Concrete Box Culvert, Install",Ft,42,14787.78,352.09,550.7,1,18
560E0140,"10'x9' Precast Concrete Box Culvert, Furnish",Ft,126,138600,1100,1022,1,18
560E0141,"10'x9' Precast Concrete Box Culvert, Install",Ft,126,37800,300,225.83,1,18
560E0156,"11'x5' Precast Concrete Box Culvert, Furnish",Ft,124,143994.8,1161.25,1144.78,2,18
560E0157,"11'x5' Precast Concrete Box Culvert, Install",Ft,124,37044,298.74,380.26,2,18
560E0160,"11'x7' Precast Concrete Box Culvert, Furnish",Ft,0,0,0,1305,0,18
560E0161,"11'x7' Precast Concrete Box Culvert, Install",Ft,0,0,0,533.5,0,18
560E0182,"12'x5' Precast Concrete Box Culvert, Furnish",Ft,46,41400,900,913.33,1,18
560E0183,"12'x5' Precast Concrete Box Culvert, Install",Ft,46,18400,400,406.67,1,18
560E0184,"12'x6' Precast Concrete Box Culvert, Furnish",Ft,42,39900,950,983.33,1,18
560E0185,"12'x6' Precast Concrete Box Culvert, Install",Ft,42,21000,500,516.67,1,18
560E0188,"12'x8' Precast Concrete Box Culvert, Furnish",Ft,92,395600,4300,4802.67,1,18
560E0189,"12'x8' Precast Concrete Box Culvert, Install",Ft,92,69000,750,1058.33,1,18
560E0190,"12'x9' Precast Concrete Box Culvert, Furnish",Ft,46,105800,2300,2868.33,1,18
560E0191,"12'x9' Precast Concrete Box Culvert, Install",Ft,46,27600,600,1058.33,1,18
560E1116,"9'x8' Precast Concrete Box Culvert End Section, Furnish",Each,2,27869.42,13934.71,14990.27,1,18
560E1117,"9'x8' Precast Concrete Box Culvert End Section, Install",Each,2,6600,3300,4027.1,1,18
560E1118,"9'x9' Precast Concrete Box Culvert End Section, Furnish",Each,2,36000,18000,17666.67,1,18
560E1119,"9'x9' Precast Concrete Box Culvert End Section, Install",Each,2,9000,4500,4333.33,1,18
560E1134,"10'x6' Precast Concrete Box Culvert End Section, Furnish",Each,2,23921.54,11960.77,12763.59,1,18
560E1135,"10'x6' Precast Concrete Box Culvert End Section, Install",Each,2,9858.48,4929.24,4809.75,1,18
560E1140,"10'x9' Precast Concrete Box Culvert End Section, Furnish",Each,2,38200,19100,16918.33,1,18
560E1141,"10'x9' Precast Concrete Box Culvert End Section, Install",Each,2,10000,5000,8969,1,18
560E1156,"11'x5' Precast Concrete Box Culvert End Section, Furnish",Each,4,51966.02,12991.5,12624.23,2,18
560E1157,"11'x5' Precast Concrete Box Culvert End Section, Install",Each,4,15120,3780,5053.98,2,18
560E1160,"11'x7' Precast Concrete Box Culvert End Section, Furnish",Each,0,0,0,14600,0,18
560E1161,"11'x7' Precast Concrete Box Culvert End Section, Install",Each,0,0,0,5320,0,18
560E1182,"12'x5' Precast Concrete Box Culvert End Section, Furnish",Each,2,20000,10000,9830,1,18
560E1183,"12'x5' Precast Concrete Box Culvert End Section, Install",Each,2,8000,4000,3573.33,1,18
560E1184,"12'x6' Precast Concrete Box Culvert End Section, Furnish",Each,2,24000,12000,11833.33,1,18
560E1185,"12'x6' Precast Concrete Box Culvert End Section, Install",Each,2,7000,3500,3000,1,18
