contract_id,category,details
sd_sddot_20230503_item_001,bid_total_difference,sd_sddot_20230503_item_001_bid_003 preserves printed item total 68042634.8 and reported bid total 68067524.49; difference=-24889.69.
sd_sddot_20230503_item_001,bid_total_difference,sd_sddot_20230503_item_001_bid_004 preserves printed item total 69885977.38 and reported bid total 69904757.77; difference=-18780.39.
sd_sddot_20230503_item_001,project_pcn_cardinality,"Project No. values 'NH-TA 0100(108)407, NH 2115(00), P 1261(00), P 1353(00)' do not align with PCN values '01V6, 08DE, 08DF,'."
sd_sddot_20230503_item_003,project_pcn_cardinality,"Project No. values 'BRO 8003(40), BRO 8030(23), BRO 8046(06), BRO 8054(06)' do not align with PCN values '08NF, 08NL, 08NM,'."
sd_sddot_20230503_item_006,abstract_parse,page 51 line 3: malformed quantity ''
sd_sddot_20230503_item_006,abstract_parse,page 51 line 4: malformed quantity ''
sd_sddot_20230503_item_006,bid_total_difference,sd_sddot_20230503_item_006_bid_001 preserves printed item total 140309.8 and reported bid total 348857.8; difference=-208548.
sd_sddot_20230503_item_006,bid_total_difference,sd_sddot_20230503_item_006_bid_002 preserves printed item total 197944.2 and reported bid total 460560.2; difference=-262616.
sd_sddot_20230503_item_009,award_amount_difference,Final award 2523640.5 resolves uniquely by vendor to abstract bid 3283640.5 for Complete Concrete Inc dba Complete Contracting Sol.
sd_sddot_20230503_item_009,bid_total_difference,sd_sddot_20230503_item_009_bid_001 preserves printed item total 2523640.5 and reported bid total 3283640.5; difference=-760000.
sd_sddot_20230517_item_001,abstract_parse,page 9 line 178: malformed quantity ''
sd_sddot_20230517_item_001,abstract_parse,page 9 line 179: malformed quantity ''
sd_sddot_20230517_item_001,abstract_parse,page 20 line 178: malformed quantity ''
sd_sddot_20230517_item_001,abstract_parse,page 20 line 179: malformed quantity ''
sd_sddot_20230517_item_001,abstract_parse,page 31 line 178: malformed quantity ''
sd_sddot_20230517_item_001,abstract_parse,page 31 line 179: malformed quantity ''
sd_sddot_20230517_item_001,bid_total_difference,sd_sddot_20230517_item_001_bid_001 preserves printed item total 45534928 and reported bid total 45617461.59; difference=-82533.59.
sd_sddot_20230517_item_001,bid_total_difference,sd_sddot_20230517_item_001_bid_002 preserves printed item total 46955172.71 and reported bid total 47035010.69; difference=-79837.98.
sd_sddot_20230517_item_001,bid_total_difference,sd_sddot_20230517_item_001_bid_003 preserves printed item total 47715807.23 and reported bid total 47799999.99; difference=-84192.76.
sd_sddot_20230517_item_001,bid_total_difference,sd_sddot_20230517_item_001_bid_004 preserves printed item total 49288331.93 and reported bid total 49372317.14; difference=-83985.21.
sd_sddot_20230517_item_001,bid_total_difference,sd_sddot_20230517_item_001_bid_005 preserves printed item total 49837904 and reported bid total 49925000; difference=-87096.
sd_sddot_20230517_item_005,abstract_parse,page 44 line 4: malformed quantity ''
sd_sddot_20230517_item_005,bid_total_difference,sd_sddot_20230517_item_005_bid_001 preserves printed item total 661403.8 and reported bid total 677153.8; difference=-15750.
sd_sddot_20230517_item_005,bid_total_difference,sd_sddot_20230517_item_005_bid_002 preserves printed item total 799862.8 and reported bid total 807212.8; difference=-7350.
