item_code_raw,item_code,official_description,official_unit,is_deleted
120E0400,120E0400,Select Subgrade Topping,CuYd,false
120E0410,120E0410,Option Select Subgrade Topping,CuYd,false
120E0420,120E0420,Contractor Furnished Select Subgrade Topping,CuYd,false
120E0500,120E0500,Option Borrow Excavation,CuYd,false
120E0600,120E0600,Contractor Furnished Borrow Excavation,CuYd,false
120E0605,120E0605,Stockpile Contractor Furnished Borrow,CuYd,false
120E0700,120E0700,Excavation Below Undercut,CuYd,false
120E0800,120E0800,Rubble and Buried Debris Excavation,CuYd,false
120E0900,120E0900,Contaminated Material Excavation,CuYd,false
120E0910,120E0910,Contaminated Material Excavation,Ton,false
120E1000,120E1000,Muck Excavation,CuYd,false
120E1100,120E1100,Unclassified/Rock Excavation,CuYd,false
120E1150,120E1150,Rock Excavation,CuYd,false
120E1300,120E1300,Preshearing,SqFt,false
120E2000,120E2000,Undercutting,CuYd,false
120E3000,120E3000,Placing Embankment,CuYd,false
120E3120,120E3120,Bridge Berm Repair,Each,false
120E3500,120E3500,Haul Road for Construction Operations,SqYd,false
120E3510,120E3510,Shoulder Haul Route for Construction Operations,Mile,false
120E4000,120E4000,Grading,Sta,false
120E4100,120E4100,Reprofiling Ditch,Sta,false
120E4200,120E4200,Cut Interceptor Ditch,Ft,false
120E5000,120E5000,Extra Haul,CYS,false
120E5100,120E5100,Extra Haul,CYM,false
120E5110,120E5110,Waste Material Haul,CuYd,false
120E6100,120E6100,Water for Embankment,MGal,false
120E6200,120E6200,Water for Granular Material,MGal,false
120E6300,120E6300,Water for Vegetation,MGal,false
120E6900,120E6900,Class C Fly Ash for Subgrade Stabilization,Ton,false
120E6910,120E6910,Portland Cement for Subgrade Stabilization,Ton,false
120E6912,120E6912,Cement Treated Subgrade,SqYd,false
120E7000,120E7000,Select Granular Backfill,Ton,false
120E7050,120E7050,Backfill Material for Reinforced Slope,CuYd,false
120E7052,120E7052,Granular Material for Reinforced Embankment,Ton,false
120E7100,120E7100,Select Rock Fill Material,CuYd,false
120E7110,120E7110,Select Fill Material,CuYd,false
120E7500,120E7500,Aggregate Column,CuYd,false
120E9000,120E9000,Pit Run,Ton,false
120E9010,120E9010,"Pit Run, Modified",Ton,false
205E0010,205E0010,"Dust Control Chloride, Short Term",Lb,false
205E0012,205E0012,"Dust Control Chloride, Long Term",Lb,false
205E0030,205E0030,Dust Control Nonchloride,Lb,false
205E6000,205E6000,Water for Dust Control,MGal,false
210E0100,210E0100,Shoulder Clearing,Mile,false
210E1000,210E1000,Shoulder Preparation,Mile,false
210E1005,210E1005,Surface Preparation,Mile,false
