contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
cdot_2025q4_str025a_054_project_1,cdot_2025q4_str025a_054,STR025A-054,I-25C NORTH OUT OF WALSENBURG,Roadway,Colorado / CDOT District 2,,STR025A-054 I-25C NORTH OUT OF WALSENBURG,5987513.44
cdot_2025q4_str050a_042_project_1,cdot_2025q4_str050a_042,STR050A-042,FREMONT COUNTY IN R2,Roadway,Colorado / CDOT District 2,,STR050A-042 FREMONT COUNTY IN R2,1440920.00
cdot_2025q4_str069a_036_project_1,cdot_2025q4_str069a_036,STR069A-036,SH 69 M.P. 71.53 TO M.P. 82.66,Roadway,Colorado / CDOT District 2,,STR069A-036 SH 69 M.P. 71.53 TO M.P. 82.66,7999978.41
cdot_2025q4_str141a_056_project_1,cdot_2025q4_str141a_056,STR141A-056,SH 141 MP 85.5 K-01-B BRIDGE,Roadway,Colorado / CDOT District 5,,STR141A-056 SH 141 MP 85.5 K-01-B BRIDGE,2088196.75
cdot_2025q4_str3501_019_project_1,cdot_2025q4_str3501_019,STR3501-019,MINDEMAN TO EAST OF SH 71 JUNC,Roadway,Colorado / CDOT District 2,,STR3501-019 MINDEMAN TO EAST OF SH 71 JUNC,6675478.19
cdot_2025q4_strr200_288_project_1,cdot_2025q4_strr200_288,STRR200-288,"CO 9B, US 24A, US 24G, CO 67C,",Roadway,Colorado / CDOT District 2,,"STRR200-288 CO 9B, US 24A, US 24G, CO 67C,",1798366.30
cdot_2025q4_stu1191_044_project_1,cdot_2025q4_stu1191_044,STU1191-044,CO119 AND CO 7 FROM US36 (28TH,Roadway,Colorado / CDOT District 4,,STU1191-044 CO119 AND CO 7 FROM US36 (28TH,4654489.73
cdot_2024q4_2670252_504_project_1,cdot_2024q4_2670252_504,2670252-504,I25 GREENLAND WILDLIFE OVERPAS,Roadway,Colorado / CDOT District 1,,2670252-504 I25 GREENLAND WILDLIFE OVERPAS,14831421.18
cdot_2024q4_2670253_288_project_1,cdot_2024q4_2670253_288,2670253-288,I-25 & SH-7,Roadway,Colorado / CDOT District 6,,2670253-288 I-25 & SH-7,13475476.00
cdot_2024q4_2670703_511_project_1,cdot_2024q4_2670703_511,2670703-511,"HWY 40, I-70 INTERCHANGE (EL R",Roadway,Colorado / CDOT District 1,,"2670703-511 HWY 40, I-70 INTERCHANGE (EL R",4080829.29
