agency_item_id,state,agency_id,agency_name,item_code,current_version_id,item_status,canonical_item_id
co_cdot_203-00500,CO,co_cdot,CDOT,203-00500,co_cdot_203-00500_v2026,current,
co_cdot_203-00510,CO,co_cdot,CDOT,203-00510,co_cdot_203-00510_v2026,current,
co_cdot_203-00590,CO,co_cdot,CDOT,203-00590,co_cdot_203-00590_v2026,current,
co_cdot_203-00592,CO,co_cdot,CDOT,203-00592,co_cdot_203-00592_v2026,current,
co_cdot_203-00598,CO,co_cdot,CDOT,203-00598,co_cdot_203-00598_v2026,current,
co_cdot_203-00599,CO,co_cdot,CDOT,203-00599,co_cdot_203-00599_v2026,current,
co_cdot_203-00600,CO,co_cdot,CDOT,203-00600,co_cdot_203-00600_v2026,current,
co_cdot_203-00700,CO,co_cdot,CDOT,203-00700,co_cdot_203-00700_v2026,current,
co_cdot_203-00705,CO,co_cdot,CDOT,203-00705,co_cdot_203-00705_v2026,current,
co_cdot_203-00710,CO,co_cdot,CDOT,203-00710,co_cdot_203-00710_v2026,current,
co_cdot_203-00840,CO,co_cdot,CDOT,203-00840,co_cdot_203-00840_v2026,current,
co_cdot_203-00850,CO,co_cdot,CDOT,203-00850,co_cdot_203-00850_v2026,current,
co_cdot_203-00900,CO,co_cdot,CDOT,203-00900,co_cdot_203-00900_v2026,current,
co_cdot_203-01000,CO,co_cdot,CDOT,203-01000,co_cdot_203-01000_v2026,current,
co_cdot_203-01020,CO,co_cdot,CDOT,203-01020,co_cdot_203-01020_v2026,current,
co_cdot_203-01030,CO,co_cdot,CDOT,203-01030,co_cdot_203-01030_v2026,current,
co_cdot_203-01100,CO,co_cdot,CDOT,203-01100,co_cdot_203-01100_v2026,current,
co_cdot_203-01140,CO,co_cdot,CDOT,203-01140,co_cdot_203-01140_v2026,current,
co_cdot_203-01200,CO,co_cdot,CDOT,203-01200,co_cdot_203-01200_v2026,current,
co_cdot_203-01500,CO,co_cdot,CDOT,203-01500,co_cdot_203-01500_v2026,current,
co_cdot_203-01510,CO,co_cdot,CDOT,203-01510,co_cdot_203-01510_v2026,current,
co_cdot_203-01515,CO,co_cdot,CDOT,203-01515,co_cdot_203-01515_v2026,current,
co_cdot_203-01525,CO,co_cdot,CDOT,203-01525,co_cdot_203-01525_v2026,current,
co_cdot_203-01548,CO,co_cdot,CDOT,203-01548,co_cdot_203-01548_v2026,current,
co_cdot_203-01549,CO,co_cdot,CDOT,203-01549,co_cdot_203-01549_v2026,current,
co_cdot_203-01550,CO,co_cdot,CDOT,203-01550,co_cdot_203-01550_v2026,current,
co_cdot_203-01555,CO,co_cdot,CDOT,203-01555,co_cdot_203-01555_v2026,current,
co_cdot_203-01565,CO,co_cdot,CDOT,203-01565,co_cdot_203-01565_v2026,current,
co_cdot_203-01580,CO,co_cdot,CDOT,203-01580,co_cdot_203-01580_v2026,current,
co_cdot_203-01582,CO,co_cdot,CDOT,203-01582,co_cdot_203-01582_v2026,current,
co_cdot_203-01583,CO,co_cdot,CDOT,203-01583,co_cdot_203-01583_v2026,current,
co_cdot_203-01590,CO,co_cdot,CDOT,203-01590,co_cdot_203-01590_v2026,current,
co_cdot_203-01592,CO,co_cdot,CDOT,203-01592,co_cdot_203-01592_v2026,current,
co_cdot_203-01594,CO,co_cdot,CDOT,203-01594,co_cdot_203-01594_v2026,current,
co_cdot_203-01596,CO,co_cdot,CDOT,203-01596,co_cdot_203-01596_v2026,current,
co_cdot_203-01597,CO,co_cdot,CDOT,203-01597,co_cdot_203-01597_v2026,current,
co_cdot_203-01598,CO,co_cdot,CDOT,203-01598,co_cdot_203-01598_v2026,current,
co_cdot_203-01600,CO,co_cdot,CDOT,203-01600,co_cdot_203-01600_v2026,current,
co_cdot_203-01615,CO,co_cdot,CDOT,203-01615,co_cdot_203-01615_v2026,current,
co_cdot_203-01620,CO,co_cdot,CDOT,203-01620,co_cdot_203-01620_v2026,current,
co_cdot_203-01622,CO,co_cdot,CDOT,203-01622,co_cdot_203-01622_v2026,current,
co_cdot_203-01625,CO,co_cdot,CDOT,203-01625,co_cdot_203-01625_v2026,current,
co_cdot_203-02060,CO,co_cdot,CDOT,203-02060,co_cdot_203-02060_v2026,current,
co_cdot_203-02300,CO,co_cdot,CDOT,203-02300,co_cdot_203-02300_v2026,current,
co_cdot_203-02310,CO,co_cdot,CDOT,203-02310,co_cdot_203-02310_v2026,current,
co_cdot_203-02312,CO,co_cdot,CDOT,203-02312,co_cdot_203-02312_v2026,current,
co_cdot_203-02315,CO,co_cdot,CDOT,203-02315,co_cdot_203-02315_v2026,current,
co_cdot_203-02320,CO,co_cdot,CDOT,203-02320,co_cdot_203-02320_v2026,current,
co_cdot_203-02324,CO,co_cdot,CDOT,203-02324,co_cdot_203-02324_v2026,current,
