contract_item_id,contract_id,source_id,section_number,section_title,line_number,source_item_code,agency_item_id,description_raw,quantity,unit_raw,unit_normalized,alternate_set,alternate_member,mapping_status,source_page,source_locator
fhu_watson_20211216_row_0097,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,97,603-01245,co_cdot_603-01245,24 INCH REINFORCED CONCRETE PIPE (CIP),753.00,LF,LF,,,matched,,SAQ:97
fhu_watson_20211216_row_0098,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,98,603-01305,co_cdot_603-01305,30 INCH REINFORCED CONCRETE PIPE (CIP),415.00,LF,LF,,,matched,,SAQ:98
fhu_watson_20211216_row_0099,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,99,603-01365,co_cdot_603-01365,36 INCH REINFORCED CONCRETE PIPE (CIP),322.00,LF,LF,,,matched,,SAQ:99
fhu_watson_20211216_row_0100,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,100,603-02245,co_cdot_603-02245,30x19 INCH REINFORCED CONCRETE PIPE ELLIPTICAL (CIP),102.00,LF,LF,,,matched,,SAQ:100
fhu_watson_20211216_row_0101,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,101,604-00310,co_cdot_604-00310,INLET TYPE C (10 FOOT),1.00,EACH,EACH,,,matched,,SAQ:101
fhu_watson_20211216_row_0102,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,102,604-16010,co_cdot_604-16010,INLET TYPE 16 (SINGLE) (10 FOOT),3.00,EACH,EACH,,,matched,,SAQ:102
fhu_watson_20211216_row_0103,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,103,604-16510,co_cdot_604-16510,INLET TYPE 16 (DOUBLE) (10 FOOT),5.00,EACH,EACH,,,matched,,SAQ:103
fhu_watson_20211216_row_0104,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,104,604-16610,co_cdot_604-16610,INLET TYPE 16 (TRIPLE) (10 FOOT),1.00,EACH,EACH,,,matched,,SAQ:104
fhu_watson_20211216_row_0105,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,105,604-19110,co_cdot_604-19110,INLET TYPE R L 5 (10 FOOT),1.00,EACH,EACH,,,matched,,SAQ:105
fhu_watson_20211216_row_0106,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,106,604-19210,co_cdot_604-19210,INLET TYPE R L10 (10 FOOT),2.00,EACH,EACH,,,matched,,SAQ:106
fhu_watson_20211216_row_0107,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,107,604-19410,co_cdot_604-19410,INLET TYPE R L5 (SPECIAL) (10 FOOT),3.00,EACH,EACH,,,matched,,SAQ:107
fhu_watson_20211216_row_0108,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,108,604-30010,co_cdot_604-30010,MANHOLE SLAB BASE (10 FOOT),8.00,EACH,EACH,,,matched,,SAQ:108
fhu_watson_20211216_row_0109,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,109,604-30015,co_cdot_604-30015,MANHOLE SLAB BASE (15 FOOT),1.00,EACH,EACH,,,matched,,SAQ:109
fhu_watson_20211216_row_0110,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,110,604-39000,co_cdot_604-39000,MANHOLE (SPECIAL),1.00,EACH,EACH,,,matched,,SAQ:110
fhu_watson_20211216_row_0111,fhu_bid_tab_watson_ave_roundabout_2021_12_16_320150,fhu_bid_tab_watson_ave_roundabout_2021_12_16,,SAQ,111,606-00302,co_cdot_606-00302,GUARDRAIL TYPE 3 (31 INCH MIDWEST GUARDRAIL SYSTEM),110.00,LF,LF,,,matched,,SAQ:111
