contract_id,letting_id,source_id,state,agency_id,official_contract_id,call_order,letting_status,awarded_vendor,awarded_amount,primary_county,route,work_type,contract_period,dbe_goal,bid_count,location,district,terrain,award_index
cdot_2025q4_mtcer400_415,co_cdot_cost_data_book_2025_q4_20251016,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER400-415,,AWARDED,"STREAMLINE MARKINGS, LLC",2542335.29,Colorado / CDOT District 4,,Roadway,,,2,MTCER400-415 REGION 4,4,R,91.38
cdot_2025q4_mtcer500_233,co_cdot_cost_data_book_2025_q4_20250306,cdot_cost_data_book_2025_q4,CO,co_cdot,MTCER500-233,,AWARDED,"STREAMLINE MARKINGS, LLC",1834021.50,Colorado / CDOT District 5,,Roadway,,,6,MTCER500-233 REGION 5,5,R,71.81
cdot_2025q4_nh0243_097,co_cdot_cost_data_book_2025_q4_20251106,cdot_cost_data_book_2025_q4,CO,co_cdot,NH0243-097,,AWARDED,EDW. C. LEVY CO.,11325943.09,Colorado / CDOT District 2,,Roadway,,,2,NH0243-097 US 24 - MP 332.02 TO MP 342.65,2,P,100.23
cdot_2025q4_nh160a_036,co_cdot_cost_data_book_2025_q4_20251120,cdot_cost_data_book_2025_q4,CO,co_cdot,NH160A-036,,AWARDED,"OLDCASTLE SW GROUP, INC.",9155884.13,Colorado / CDOT District 2,,Roadway,,,2,NH160A-036 US160A HUERFANO MP 294.4 TO 30,2,R,78.93
cdot_2025q4_nhpp0062_040,co_cdot_cost_data_book_2025_q4_20250523,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0062-040,,AWARDED,"JALISCO INTERNATIONAL, INC.",10683069.23,Colorado / CDOT District 6,,Roadway,,,1,NHPP0062-040 VASQUEZ BLVD - I270 TO 64TH -,6,U,100.00
cdot_2025q4_nhpp0072_033,co_cdot_cost_data_book_2025_q4_20250220,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0072-033,,AWARDED,"ASPHALT SPECIALTIES CO., INC.",8058760.55,Colorado / CDOT District 4,,Roadway,,,4,NHPP0072-033 CO7 28TH ST TO CHERRYVALE RD (,4,U,87.60
cdot_2025q4_nhpp0241_070,co_cdot_cost_data_book_2025_q4_20251023,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0241-070,,AWARDED,"OLDCASTLE SW GROUP, INC.",6480440.65,Colorado / CDOT District 5,,Roadway,,,4,NHPP0241-070 US 24 MP 192.73 TO 202.30,5,R,85.53
cdot_2025q4_nhpp0253_302,co_cdot_cost_data_book_2025_q4_20250926,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0253-302,,AWARDED,"RLW/SEMA, A Joint Venture",78893355.45,Colorado / CDOT District 4,,Roadway,,,1,NHPP0253-302 I-25 SEGMENT 5 (MP 242.5 TO 25,4,U,101.90
cdot_2025q4_nhpp0402_107,co_cdot_cost_data_book_2025_q4_20251211,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0402-107,,AWARDED,"OLDCASTLE SW GROUP, INC.",12017516.10,Colorado / CDOT District 3,,Roadway,,,2,"NHPP0402-107 R3 US 40 MILNER EAST AND WEST,",3,M,84.03
cdot_2025q4_nhpp0403_063,co_cdot_cost_data_book_2025_q4_20250327,cdot_cost_data_book_2025_q4,CO,co_cdot,NHPP0403-063,,AWARDED,"OLDCASTLE SW GROUP, INC.",11822056.73,Colorado / CDOT District 1,,Roadway,,,4,NHPP0403-063 US40 RESURFACING MP 252-258.3,1,M,104.62
