agency_item_id,state,agency,item_code,official_description,official_abbreviated_description,official_unit,canonical_item_id
co_cdot_203-01030,CO,CDOT,203-01030,Compaction (AASHTO T 180),Compaction (AASHTO T 180),CY,
co_cdot_203-01100,CO,CDOT,203-01100,Proof Rolling,Proof Rolling,HOUR,
co_cdot_203-01140,CO,CDOT,203-01140,Rolling,Rolling,HOUR,
co_cdot_203-01200,CO,CDOT,203-01200,Roadway Insulation Material (2 Inch),Roadway Insulation Mat (2 In),SF,
co_cdot_203-01500,CO,CDOT,203-01500,Blading,Blading,HOUR,
co_cdot_203-01510,CO,CDOT,203-01510,Backhoe,Backhoe,HOUR,
co_cdot_203-01515,CO,CDOT,203-01515,Backhoe (Landscaping),Backhoe (Landscaping),HOUR,
co_cdot_203-01525,CO,CDOT,203-01525,Backhoe (Special),Backhoe (Spec),HOUR,
co_cdot_203-01548,CO,CDOT,203-01548,Pump,Pump,DAY,
co_cdot_203-01549,CO,CDOT,203-01549,Pump,Pump,HOUR,
co_cdot_203-01550,CO,CDOT,203-01550,Dozing,Dozing,HOUR,
co_cdot_203-01555,CO,CDOT,203-01555,Dozing (Landscaping),Dozing (Landscaping),HOUR,
co_cdot_203-01565,CO,CDOT,203-01565,Hydraulic Excavator,Hydraulic Excavator,HOUR,
co_cdot_203-01580,CO,CDOT,203-01580,Truck,Truck,HOUR,
co_cdot_203-01582,CO,CDOT,203-01582,Truck (Dump),Truck (Dump),HOUR,
co_cdot_203-01583,CO,CDOT,203-01583,Truck (Tractor),Truck (Tractor),HOUR,
co_cdot_203-01590,CO,CDOT,203-01590,Front End Loader (Rubber Tire),Front End Loader (Rubber),HOUR,
co_cdot_203-01592,CO,CDOT,203-01592,Front End Loader (Special),Front End Loader (Special),HOUR,
co_cdot_203-01594,CO,CDOT,203-01594,Combination Loader,Combination Loader,HOUR,
co_cdot_203-01596,CO,CDOT,203-01596,Potholing With Surveying and Stationing of U/G Utilities,Potholing W/ Surveying,L S,
co_cdot_203-01597,CO,CDOT,203-01597,Potholing,Potholing,HOUR,
co_cdot_203-01598,CO,CDOT,203-01598,Potholing (Special),Potholing (Spec),EACH,
co_cdot_203-01600,CO,CDOT,203-01600,Crane (Crawler),Crane (Crawler),HOUR,
co_cdot_203-01615,CO,CDOT,203-01615,Crane (Scaling),Crane (Scaling),HOUR,
co_cdot_203-01620,CO,CDOT,203-01620,Sweeping,Sweeping,HOUR,
co_cdot_203-01622,CO,CDOT,203-01622,Sweeping (With Pickup Broom),Sweeping (With Pickup Broom),HOUR,
co_cdot_203-01625,CO,CDOT,203-01625,Hydraulic Excavator Scaling,Hydraulic Excavator Scaling,HOUR,
co_cdot_203-02060,CO,CDOT,203-02060,Presplitting,Presplitting,LF,
co_cdot_203-02300,CO,CDOT,203-02300,Rock Scaler,Rock Scaler,HOUR,
co_cdot_203-02310,CO,CDOT,203-02310,Scaler Foreperson,Scaler Foreperson,HOUR,
co_cdot_203-02312,CO,CDOT,203-02312,Hand Scaling,Hand Scaling,HOUR,
co_cdot_203-02315,CO,CDOT,203-02315,Mechanized Scaling,Mechanized Scaling,HOUR,
co_cdot_203-02320,CO,CDOT,203-02320,Blaster,Blaster,HOUR,
co_cdot_203-02324,CO,CDOT,203-02324,Blast Vibration Monitoring,Blast Vibration Monitoring,L S,
co_cdot_203-02330,CO,CDOT,203-02330,Laborer,Laborer,HOUR,
co_cdot_204-00010,CO,CDOT,204-00010,Haul,Haul,TM,
co_cdot_206-00000,CO,CDOT,206-00000,Structure Excavation,Str Excav,CY,
co_cdot_206-00010,CO,CDOT,206-00010,Structure Excavation (Special),Str Excav (Spec),CY,
co_cdot_206-00050,CO,CDOT,206-00050,Structure Backfill (Special),Str Bkfl (Spec),CY,
co_cdot_206-00060,CO,CDOT,206-00060,Structure Backfill (Special) (Flow-Fill),Str Bkfl (Spec) (Flow-Fill),CY,
co_cdot_206-00065,CO,CDOT,206-00065,Structure Backfill (Flow-Fill),Str Bkfl (Flow-Fill),CY,
co_cdot_206-00066,CO,CDOT,206-00066,Structure Backfill (Flowable Fly Ash),Str Bkfl (FF Ash),CY,
co_cdot_206-00100,CO,CDOT,206-00100,Structure Backfill (Class 1),Str Bkfl (CL 1),CY,
co_cdot_206-00200,CO,CDOT,206-00200,Structure Backfill (Class 2),Str Bkfl (CL 2),CY,
co_cdot_206-00300,CO,CDOT,206-00300,Structure Backfill (Class 3),Str Bkfl (CL 3),CY,
co_cdot_206-00360,CO,CDOT,206-00360,Mechanical Reinforcement of Soil,Mechanical Reinforcement of Soil,CY,
co_cdot_206-00505,CO,CDOT,206-00505,Filter Material (Special),Filter Matl (Spec),CY,
co_cdot_206-00510,CO,CDOT,206-00510,Filter Material (Class A),Filter Matl (CL A),CY,
co_cdot_206-00520,CO,CDOT,206-00520,Filter Material (Class B),Filter Matl (CL B),CY,
co_cdot_206-00530,CO,CDOT,206-00530,Filter Material (Class C),Filter Matl (CL C),CY,
co_cdot_206-01000,CO,CDOT,206-01000,Bed Course Material,Bed Course Matl,CY,
co_cdot_206-01001,CO,CDOT,206-01001,Bed Course Material (Special),Bed Course Matl (Spec),CY,
co_cdot_206-01010,CO,CDOT,206-01010,Bed Course Material,Bed Course Matl,TON,
co_cdot_206-01025,CO,CDOT,206-01025,Rock Blanket (1 Foot),Rock Blanket (1 Ft),SY,
co_cdot_206-01500,CO,CDOT,206-01500,Cofferdam,Cofferdam,L S,
co_cdot_206-01600,CO,CDOT,206-01600,Temporary Excavation Support,Temp Excav Support,L S,
co_cdot_206-01750,CO,CDOT,206-01750,Shoring,Shoring,L S,
co_cdot_206-01781,CO,CDOT,206-01781,Shoring (Area 1),Shoring (A 1),L S,
co_cdot_206-01782,CO,CDOT,206-01782,Shoring (Area 2),Shoring (A 2),L S,
co_cdot_206-01783,CO,CDOT,206-01783,Shoring (Area 3),Shoring (A 3),L S,
co_cdot_206-01784,CO,CDOT,206-01784,Shoring (Area 4),Shoring (A 4),L S,
co_cdot_206-01785,CO,CDOT,206-01785,Shoring (Area 5),Shoring (A 5),L S,
co_cdot_206-01786,CO,CDOT,206-01786,Shoring (Area 6),Shoring (A 6),L S,
co_cdot_206-01787,CO,CDOT,206-01787,Shoring (Area 7),Shoring (A 7),L S,
co_cdot_206-01788,CO,CDOT,206-01788,Shoring (Area 8),Shoring (A 8),L S,
co_cdot_206-01789,CO,CDOT,206-01789,Shoring (Area 9),Shoring (A 9),L S,
co_cdot_206-01790,CO,CDOT,206-01790,Shoring (Area 10),Shoring (A 10),L S,
co_cdot_206-01791,CO,CDOT,206-01791,Shoring (Area 11),Shoring (A 11),L S,
co_cdot_206-01792,CO,CDOT,206-01792,Shoring (Area 12),Shoring (A 12),L S,
co_cdot_206-01793,CO,CDOT,206-01793,Shoring (Area 13),Shoring (A 13),L S,
co_cdot_206-01794,CO,CDOT,206-01794,Shoring (Area 14),Shoring (A 14),L S,
co_cdot_206-01795,CO,CDOT,206-01795,Shoring (Area 15),Shoring (A 15),L S,
co_cdot_206-01796,CO,CDOT,206-01796,Shoring (Area 16),Shoring (A 16),L S,
co_cdot_206-01797,CO,CDOT,206-01797,Shoring (Area 17),Shoring (A 17),L S,
co_cdot_206-01798,CO,CDOT,206-01798,Shoring (Area 18),Shoring (A 18),L S,
co_cdot_206-01799,CO,CDOT,206-01799,Shoring (Area 19),Shoring (A 19),L S,
co_cdot_206-01800,CO,CDOT,206-01800,Shoring (Area 20),Shoring (A 20),L S,
co_cdot_206-01801,CO,CDOT,206-01801,Shoring (Area 21),Shoring (A 21),L S,
co_cdot_206-01802,CO,CDOT,206-01802,Shoring (Area 22),Shoring (A 22),L S,
co_cdot_206-01803,CO,CDOT,206-01803,Shoring (Area 23),Shoring (A 23 ),L S,
co_cdot_206-01804,CO,CDOT,206-01804,Shoring (Area 24),Shoring (A 24),L S,
co_cdot_206-01805,CO,CDOT,206-01805,Shoring (Area 25),Shoring (A 25),L S,
co_cdot_206-01806,CO,CDOT,206-01806,Shoring (Area 26),Shoring (A 26),L S,
co_cdot_206-01809,CO,CDOT,206-01809,Shoring (Area 29),Shoring (A 29),L S,
co_cdot_206-01810,CO,CDOT,206-01810,Shoring (Area 30),Shoring (A 30),L S,
co_cdot_206-01811,CO,CDOT,206-01811,Shoring (Area 31),Shoring (A 31),L S,
co_cdot_206-01812,CO,CDOT,206-01812,Shoring (Area 32),Shoring (A 32),L S,
co_cdot_206-01813,CO,CDOT,206-01813,Shoring (Area 33),Shoring (A 33),L S,
co_cdot_206-01814,CO,CDOT,206-01814,Shoring (Area 34),Shoring (A 34),L S,
co_cdot_206-01815,CO,CDOT,206-01815,Shoring (Area 35),Shoring (A 35),L S,
co_cdot_206-01816,CO,CDOT,206-01816,Shoring (Area 36),Shoring (A 36),L S,
co_cdot_206-01817,CO,CDOT,206-01817,Shoring (Area 37),Shoring (A 37),L S,
co_cdot_206-01818,CO,CDOT,206-01818,Shoring (Area 38),Shoring (A 38),L S,
co_cdot_206-01819,CO,CDOT,206-01819,Shoring (Area 39),Shoring (A 39),L S,
co_cdot_207-00205,CO,CDOT,207-00205,Topsoil,Topsoil,CY,
co_cdot_207-00210,CO,CDOT,207-00210,Stockpile Topsoil,Stockpile Topsoil,CY,
co_cdot_207-00305,CO,CDOT,207-00305,Wetland Topsoil,Wetland Topsoil,CY,
co_cdot_207-00310,CO,CDOT,207-00310,Stockpile Wetland Topsoil,Stockpile Wetland Topsoil,CY,
co_cdot_207-00405,CO,CDOT,207-00405,Topsoil (Special),Topsoil (Spec),CY,
co_cdot_207-00602,CO,CDOT,207-00602,Topsoil (Engineered),Topsoil (Engineered),CY,
co_cdot_207-00604,CO,CDOT,207-00604,Subsoil Preparation,Subsoil Prep,SY,
co_cdot_207-00606,CO,CDOT,207-00606,Topsoil (Imported),Topsoil (Imported),CY,
co_cdot_207-00700,CO,CDOT,207-00700,Topsoil (Onsite),Topsoil (Onsite),CY,
co_cdot_207-00702,CO,CDOT,207-00702,Topsoil (Offsite),Topsoil (Offsite),CY,
co_cdot_207-00703,CO,CDOT,207-00703,Topsoil (Wetland),Topsoil (Wetlnd),CY,
co_cdot_207-00704,CO,CDOT,207-00704,Subgrade Soil Preparation,Sub Soil Prep,SY,
co_cdot_207-00706,CO,CDOT,207-00706,Seeding Media,Seeding Media,CY,
co_cdot_208-00001,CO,CDOT,208-00001,Silt Dike,Silt Dike,LF,
co_cdot_208-00002,CO,CDOT,208-00002,Erosion Log Type 1 (12 Inch),Erosion Log Type 1 (12 In),LF,
co_cdot_208-00004,CO,CDOT,208-00004,Silt Berm,Silt Berm,LF,
co_cdot_208-00006,CO,CDOT,208-00006,Erosion Log (Special),Erosion Log (Special),LF,
co_cdot_208-00007,CO,CDOT,208-00007,Erosion Log Type 2 (8 Inch),Erosion Log Type 2 (8 In),LF,
co_cdot_208-00008,CO,CDOT,208-00008,Erosion Log Type 2 (12 Inch),Erosion Log Type 2 (12 In),LF,
co_cdot_208-00009,CO,CDOT,208-00009,Erosion Log Type 2 (18 Inch),Erosion Log Type 2 (18 In),LF,
co_cdot_208-00011,CO,CDOT,208-00011,Erosion Bales (Weed Free),Erosion Bales (Weed Free),EACH,
co_cdot_208-00012,CO,CDOT,208-00012,Erosion Log Type 1 (9 Inch),Erosion Log Type 1 (9 In),LF,
co_cdot_208-00013,CO,CDOT,208-00013,Erosion Log Type 1 (20 Inch),Erosion Log Type 1 (20 In),LF,
co_cdot_208-00014,CO,CDOT,208-00014,Silt Dike (Type 2)(6 Inch),Silt Dike (Type 2)(6 In),LF,
co_cdot_208-00015,CO,CDOT,208-00015,Sand Bag,Sand Bag,EACH,
co_cdot_208-00016,CO,CDOT,208-00016,Erosion Log Type 1 (Special) (12 Inch),Erosion Log Type 1 (Special) (12 In),LF,
co_cdot_208-00017,CO,CDOT,208-00017,Erosion Log Type 2 Biodegradable Netting (12 Inch),Erosion Log Type 2 BioD Netting (12 In),LF,
co_cdot_208-00019,CO,CDOT,208-00019,Silt Fence (Reinforced)(Special),Silt Fence (Reinforced)(Special),LF,
co_cdot_208-00020,CO,CDOT,208-00020,Silt Fence,Silt Fence,LF,
co_cdot_208-00021,CO,CDOT,208-00021,Silt Fence (Reinforced),Silt Fence (Reinf),LF,
co_cdot_208-00022,CO,CDOT,208-00022,Erosion Log Type 3 (9 Inch),Erosion Log Type 3 (9 In),LF,
co_cdot_208-00023,CO,CDOT,208-00023,Erosion Log Type 3 (12 Inch),Erosion Log Type 3 (12 In),LF,
co_cdot_208-00024,CO,CDOT,208-00024,Erosion Log Type 3 (20 Inch),Erosion Log Type 3 (20 In),LF,
co_cdot_208-00025,CO,CDOT,208-00025,Plastic Sheeting,Plastic Sheeting,SY,
co_cdot_208-00026,CO,CDOT,208-00026,Coir Roll,Coir Roll,LF,
co_cdot_208-00027,CO,CDOT,208-00027,Silt Fence (Type 2),Silt Fence (Type 2),LF,
co_cdot_208-00028,CO,CDOT,208-00028,Erosion Log Type 4 (12 Inch),Erosion Log Type 4 (12 In),LF,
co_cdot_208-00029,CO,CDOT,208-00029,Erosion Log Type 3 (Special) (12 Inch),Erosion Log Type 3 (Special) (12 In),LF,
co_cdot_208-00030,CO,CDOT,208-00030,Sediment Basin,Sediment Basin,EACH,
co_cdot_208-00033,CO,CDOT,208-00033,Sediment Trap,Sediment Trap,EACH,
co_cdot_208-00035,CO,CDOT,208-00035,Aggregate Bag,Aggregate Bag,LF,
co_cdot_208-00036,CO,CDOT,208-00036,Aggregate Bag (Special),Aggregate Bag (Special),LF,
co_cdot_208-00041,CO,CDOT,208-00041,Rock Check Dam,Rock Check Dam,EACH,
co_cdot_208-00045,CO,CDOT,208-00045,Concrete Washout Structure,Conc Washout Str,EACH,
co_cdot_208-00046,CO,CDOT,208-00046,Pre-fabricated Concrete Washout Structure (Type 1),Pre-fab Conc Washout Str (Type 1),EACH,
co_cdot_208-00051,CO,CDOT,208-00051,Storm Drain Inlet Protection (Type I),Storm Drain Inlet Protection (Type I),LF,
co_cdot_208-00052,CO,CDOT,208-00052,Storm Drain Inlet Protection (Type II),Storm Drain Inlet Protection (Type II),LF,
co_cdot_208-00053,CO,CDOT,208-00053,Storm Drain Inlet Protection (Type I) (84 Inch),Storm Drain Inlet Protect (Ty I)(84 In),EACH,
co_cdot_208-00054,CO,CDOT,208-00054,Storm Drain Inlet Protection (Type II),Storm Drain Inlet Protection (Type II),EACH,
co_cdot_208-00055,CO,CDOT,208-00055,Rigid Inlet Protection Device,Rigid Inlet Prot Device,EACH,
co_cdot_208-00056,CO,CDOT,208-00056,Storm Drain Inlet Protection (Type III),Storm Drain Inlet Protection (Type III),EACH,
co_cdot_208-00057,CO,CDOT,208-00057,Storm Drain Inlet Protection (Type I) (144 inch),Storm Drain Inlet Protect (Ty I)(144 In),EACH,
co_cdot_208-00058,CO,CDOT,208-00058,Storm Drain Inlet Protection (Type I) (204 Inch),Storm Drain Inlet Protect (Ty I)(204 In),EACH,
co_cdot_208-00059,CO,CDOT,208-00059,Storm Drain Inlet Protection (Rubber Mat),Storm Drain Inlet Protection(Rubber Mat),EACH,
co_cdot_208-00060,CO,CDOT,208-00060,Temporary Slope Drain,Temporary Slope Drain,LF,
co_cdot_208-00070,CO,CDOT,208-00070,Vehicle Tracking Pad,Vehicle Tracking Pad,EACH,
co_cdot_208-00071,CO,CDOT,208-00071,Maintenance Aggregate (Vehicle Tracking Pad),Maint Aggregate (Veh Track Pad),CY,
co_cdot_208-00075,CO,CDOT,208-00075,Pre-fabricated Vehicle Tracking Pad,Pre-fab Vehicle Track Pad,EACH,
co_cdot_208-00082,CO,CDOT,208-00082,Construction Mat,Construction Mat,SF,
co_cdot_208-00090,CO,CDOT,208-00090,Erosion Control (Curb Ramp),Erosion Control (Curb Ramp),EACH,
co_cdot_208-00103,CO,CDOT,208-00103,Removal and Disposal of Sediment (Labor),Removal and Disposal of Sediment,HOUR,
co_cdot_208-00105,CO,CDOT,208-00105,Removal and Disposal of Sediment (Equipment),Removal and Disposal of Sediment,HOUR,
co_cdot_208-00106,CO,CDOT,208-00106,Sweeping (Sediment Removal),Sweeping (Sediment Removal),HOUR,
co_cdot_208-00107,CO,CDOT,208-00107,Removal of Trash,Rem Trash,HOUR,
co_cdot_208-00146,CO,CDOT,208-00146,Pre-fabricated Concrete Washout Structure (Type 2),Pre-fab Conc Washout Str (Type 2),EACH,
co_cdot_208-00200,CO,CDOT,208-00200,Erosion Control Management,Erosion Control Management,L S,
co_cdot_208-00207,CO,CDOT,208-00207,Erosion Control Management,Erosion Control Management,DAY,
co_cdot_208-00300,CO,CDOT,208-00300,Temporary Berms,Temporary Berms,LF,
co_cdot_208-00301,CO,CDOT,208-00301,Temporary Diversion,Temporary Diversion,LF,
co_cdot_208-00302,CO,CDOT,208-00302,Temporary Spill Berm (Special),Temp Spill Berm (Special),LF,
co_cdot_208-00303,CO,CDOT,208-00303,Temporary Diversion (Special),Temporary Diversion (Special),LF,
co_cdot_208-00400,CO,CDOT,208-00400,Water Control,Water Control,L S,
co_cdot_208-00500,CO,CDOT,208-00500,Swale Protection Type 1,Swale Protect Type 1,LF,
co_cdot_208-00511,CO,CDOT,208-00511,Environmental Solid Wall (Temporary),Environmental Solid Wall (Temporary),LF,
co_cdot_208-00513,CO,CDOT,208-00513,Environmental Water-Filled Wall (Temporary) (2 Foot),Environmental Water-Filled Wall Tmp 2ft,LF,
co_cdot_208-00514,CO,CDOT,208-00514,Environmental Water-Filled Wall (Temporary) (3 Foot),Environmental Water-Filled Wall Tmp 3ft,LF,
co_cdot_208-00515,CO,CDOT,208-00515,Environmental Water-Filled Wall (Temporary) (4 Foot),Environmental Water-Filled Wall Tmp 4ft,LF,
co_cdot_208-00520,CO,CDOT,208-00520,Temporary Stream Crossing,Temp Stream Crossing,L S,
co_cdot_208-00521,CO,CDOT,208-00521,Temporary Stream Crossing,Temp Stream Crossing,EACH,
co_cdot_209-00000,CO,CDOT,209-00000,Water,Water,MGAL,
co_cdot_209-00100,CO,CDOT,209-00100,Water (Landscaping),Water (Landscaping),MGAL,
co_cdot_209-00200,CO,CDOT,209-00200,Time-Released Water Product,Time-Released Water Product,EACH,
co_cdot_209-00600,CO,CDOT,209-00600,Dust Palliative (Magnesium Chloride),Dust Palliative (Mg Cl),GAL,
co_cdot_209-00800,CO,CDOT,209-00800,Air Quality Construction Plan,Air Quality Construction Plan,L S,
co_cdot_210-00001,CO,CDOT,210-00001,Reset Structure,Res Structure,EACH,
co_cdot_210-00002,CO,CDOT,210-00002,Reset Structure,Reset Structure,L S,
co_cdot_210-00007,CO,CDOT,210-00007,Reset Wheel Stop,Res Wheel Stop,EACH,
co_cdot_210-00009,CO,CDOT,210-00009,Reset Communications Cabinet,Res Communications Cabinet,EACH,
co_cdot_210-00010,CO,CDOT,210-00010,Reset Mailbox Structure,Res Mailbox Str,EACH,
co_cdot_210-00011,CO,CDOT,210-00011,Reset Mailbox Structure (Type 1),Res Mailbox Str (Ty 1),EACH,
co_cdot_210-00012,CO,CDOT,210-00012,Reset Mailbox Structure (Type 2),Res Mailbox Str (Ty 2),EACH,
co_cdot_210-00013,CO,CDOT,210-00013,Reset Mailbox Structure (Type 3),Res Mailbox Str (Ty 3),EACH,
co_cdot_210-00014,CO,CDOT,210-00014,Reset Mailbox Structure (Type 4),Res Mailbox Str (Ty 4),EACH,
co_cdot_210-00015,CO,CDOT,210-00015,Reset End Section,Res End Section,EACH,
co_cdot_210-00030,CO,CDOT,210-00030,Reset Water Service,Res Water Service,EACH,
co_cdot_210-00035,CO,CDOT,210-00035,Reset Water Meter,Res Water Meter,EACH,
co_cdot_210-00037,CO,CDOT,210-00037,Reset Irrigation Pump,Reset Irrigation Pump,EACH,
co_cdot_210-00040,CO,CDOT,210-00040,Reset Water Line,Res Water Line,L S,
co_cdot_210-00045,CO,CDOT,210-00045,Reset Slide Headgate,Res Slide Headgate,EACH,
co_cdot_210-00050,CO,CDOT,210-00050,Reset Fire Hydrant,Res Fire Hydrant,EACH,
co_cdot_210-00055,CO,CDOT,210-00055,Reset Utility Pad-Mounted Transformer,Res Util Pad-Mount Trans,EACH,
co_cdot_210-00056,CO,CDOT,210-00056,Reset Utility Secondary Service Pedestal,Res Util Sec Serv Ped,EACH,
co_cdot_210-00060,CO,CDOT,210-00060,Reset Marker,Res Marker,EACH,
co_cdot_210-00065,CO,CDOT,210-00065,Reset Monument (Type 3A),Res Monument (Ty 3A),EACH,
co_cdot_210-00066,CO,CDOT,210-00066,Reset Monument Box,Reset Monument Box,EACH,
co_cdot_210-00075,CO,CDOT,210-00075,Reset Pre-Fabricated Vehicle Tracking Pad,Reset Pre-Fab Veh Tracking Pad,EACH,
co_cdot_210-00090,CO,CDOT,210-00090,Reset Delineator,Res Delineator,EACH,
co_cdot_210-00094,CO,CDOT,210-00094,Reset LED Lane Markings,Res LED Lane Markings,EACH,
co_cdot_210-00100,CO,CDOT,210-00100,Reset Trash Guard,Res Trash Guard,EACH,
co_cdot_210-00200,CO,CDOT,210-00200,Reset Flagpole,Reset Flagpole,EACH,
co_cdot_210-00300,CO,CDOT,210-00300,Reset Brick Pavers,Res Brick Pavers,SY,
co_cdot_210-00415,CO,CDOT,210-00415,Repair Rail Expansion Joint,Repair Rail Expan Joint,EACH,
co_cdot_210-00420,CO,CDOT,210-00420,Reset Timbers,Res Timbers,L S,
co_cdot_210-00425,CO,CDOT,210-00425,Reset Bridge Railing,Res Bridge Railing,LF,
co_cdot_210-00427,CO,CDOT,210-00427,Reset Pipe Handrailing,Res Pipe Handrailing,LF,
co_cdot_210-00440,CO,CDOT,210-00440,Repair Curb,Repair Curb,LF,
co_cdot_210-00442,CO,CDOT,210-00442,Patch Bridge Curb,Patch Bridge Curb,LF,
co_cdot_210-00450,CO,CDOT,210-00450,Repair Overhead Sign Structure,Repair Overhead Sign Structure,L S,
co_cdot_210-00455,CO,CDOT,210-00455,Repair Post-Tensioning System,Rep P-Tension Sys,L S,
co_cdot_210-00460,CO,CDOT,210-00460,Replace Structure Sign,Replace Structure Sign,EACH,
co_cdot_210-00472,CO,CDOT,210-00472,Reset Metal Panels,Res Metal Panels,LF,
co_cdot_210-00473,CO,CDOT,210-00473,Reset TV Cameras,Res TV Cameras,EACH,
co_cdot_210-00474,CO,CDOT,210-00474,Reset Traffic Controller Signal Head,Res Traf Contr Signal Head,EACH,
co_cdot_210-00475,CO,CDOT,210-00475,Reset Closed Circuit Television Pole,Res CCTV Pole,EACH,
co_cdot_210-00476,CO,CDOT,210-00476,Reset Microwave Vehicle Radar Detector (MVRD),Reset MVRD,EACH,
co_cdot_210-00477,CO,CDOT,210-00477,Reset Weather Station,Reset Weather Station,EACH,
co_cdot_210-00478,CO,CDOT,210-00478,Modify Power Control Board,Modify Power Control Board,L S,
co_cdot_210-00479,CO,CDOT,210-00479,Reset Radio Communication Antenna,Res Radio Com Antenna,EACH,
co_cdot_210-00480,CO,CDOT,210-00480,Pier Restoration,Pier Restoration,L S,
co_cdot_210-00481,CO,CDOT,210-00481,Reset Dedicated Short Range Communications(DSRC) (Roadside Unit),Reset DSRC (Roadside Unit),EACH,
co_cdot_210-00500,CO,CDOT,210-00500,Rebuild Portions of Present Structure,Reb Port Present Str,EACH,
co_cdot_210-00510,CO,CDOT,210-00510,Rebuild Portions of Present Structure,Reb Port Present Str,L S,
co_cdot_210-00520,CO,CDOT,210-00520,Rebuild Portions of Present Structure,Reb Port Present Str,SY,
co_cdot_210-00530,CO,CDOT,210-00530,Rebuild Portions of Present Structure,Rebuild Port of Present Str,SF,
co_cdot_210-00650,CO,CDOT,210-00650,Rebuild Timber Deck,Reb Timber Deck,L S,
co_cdot_210-00750,CO,CDOT,210-00750,Reset Light Standard,Res Light Standard,EACH,
co_cdot_210-00760,CO,CDOT,210-00760,Reset Luminaire,Res Luminaire,EACH,
co_cdot_210-00766,CO,CDOT,210-00766,Reset Lighting Control Center,Res Light Ctrl Cntr,EACH,
co_cdot_210-00770,CO,CDOT,210-00770,Reset Floodlight,Reset Floodlight,EACH,
co_cdot_210-00804,CO,CDOT,210-00804,Reset Over Height Vehicle Warning Siren,Res Over Height Veh Warn Siren,EACH,
co_cdot_210-00805,CO,CDOT,210-00805,Reset Overhead Sign Structure,Res Overhead Sign Str,EACH,
co_cdot_210-00807,CO,CDOT,210-00807,Reset Over Height Vehicle Blank Out Sign,Res Over Height Veh Blank Out Sign,EACH,
co_cdot_210-00808,CO,CDOT,210-00808,Reset Overpass Mounted Sign Bracket,Res Overpass Sign Brkt,EACH,
co_cdot_210-00809,CO,CDOT,210-00809,Reset Blankout Sign (Fiber Optic),Res Blank Sign (Fib Opt),EACH,
co_cdot_210-00810,CO,CDOT,210-00810,Reset Ground Sign,Res Ground Sign,EACH,
co_cdot_210-00815,CO,CDOT,210-00815,Reset Sign Panel,Res Sign Panel,EACH,
co_cdot_210-00816,CO,CDOT,210-00816,Reset Sign Panel (Special),Res Sign Panel (Spec),EACH,
co_cdot_210-00820,CO,CDOT,210-00820,Reset Variable Message Sign,Res Var Mesg Sign,EACH,
co_cdot_210-00825,CO,CDOT,210-00825,Reset Flashing Beacon,Res Flashing Beacon,EACH,
co_cdot_210-00827,CO,CDOT,210-00827,Reset Pull Box,Res Pull Box,EACH,
co_cdot_210-00830,CO,CDOT,210-00830,Reset Traffic Signal Face,Res Traf Sig Face,EACH,
co_cdot_210-00831,CO,CDOT,210-00831,Reset Traffic Signal Head,Res Traf Sig Head,EACH,
co_cdot_210-00840,CO,CDOT,210-00840,Reset Traffic Signal Pole,Res Traf Sig Pole,EACH,
co_cdot_210-00842,CO,CDOT,210-00842,Reset Traffic Signal Mast Arm,Res Traf Sig Mast Arm,EACH,
co_cdot_210-00845,CO,CDOT,210-00845,Reset Traffic Signal Controller,Res Traf Sig Cntrlr,EACH,
co_cdot_210-00846,CO,CDOT,210-00846,Portable Non-Intrusive Traffic Sensor (Reset),Port Non-Intrus Traf Sens (Reset),EACH,
co_cdot_210-00847,CO,CDOT,210-00847,Reset Travel Time Indicator,Res Trav Time Ind,EACH,
co_cdot_210-00848,CO,CDOT,210-00848,Reset Traffic Signal Controller and Cabinet,Res Traf Sig Control+Cab,EACH,
co_cdot_210-00855,CO,CDOT,210-00855,Reset Traffic Signal Controller Cabinet,Res Traf Sig Control Cab,EACH,
co_cdot_210-00858,CO,CDOT,210-00858,Reset Pedestal Pole,Res Pedestal Pole,EACH,
co_cdot_210-00859,CO,CDOT,210-00859,Modify Pedestrian Push Button,Mod Ped Push Button,EACH,
co_cdot_210-00860,CO,CDOT,210-00860,Reset Pedestrian Push Button,Res Ped Push Button,EACH,
co_cdot_210-00861,CO,CDOT,210-00861,Reset Wiring,Reset Wiring,L S,
co_cdot_210-00865,CO,CDOT,210-00865,Reset Pedestrian Signal Head,Res Ped Sig Head,EACH,
co_cdot_210-00866,CO,CDOT,210-00866,Reset Fire Preemption Unit and Timer,Res Fire Preempt Unit+Timer,EACH,
