contract_project_id,contract_id,project_number,project_name,work_type,county_region,route,location,project_award_amount
ia_idot_20240117_78_0921_074_project_1,ia_idot_20240117_78_0921_074,BRFN-092-1(74)--39-78,Silver Creek 2.8 mi E of Treynor,BRIDGE DECK OVERLAY,POTTAWATTAMIE,IOWA 92,Silver Creek 2.8 mi E of Treynor,947770.15
ia_idot_20240117_78_6801_185_project_1,ia_idot_20240117_78_6801_185,IMX-680-1(185)3--02-78,I-29 Interchange (EB/WB),BRIDGE DECK OVERLAY,POTTAWATTAMIE,I-680,I-29 Interchange (EB/WB),2965839.78
ia_idot_20240117_78_8804_705_project_1,ia_idot_20240117_78_8804_705,MPIN-880-4(705)0--0N-78,I-29 to I-80,HMA PAVED SHOULDER - FOG SEAL,POTTAWATTAMIE,I-880,I-29 to I-80,212223.45
ia_idot_20240117_79_0634_053_project_1,ia_idot_20240117_79_0634_053,NHSX-063-4(53)--3H-79,W Jct US 6 to Tama Co Line,HMA RESURFACING,POWESHIEK,U.S. 63,W Jct US 6 to Tama Co Line,12497650.57
ia_idot_20240117_79_0634_054_project_1,ia_idot_20240117_79_0634_054,NHSX-063-4(54)--3H-79,W Jct US 6 to SCL Tama,TRAFFIC SIGNS,POWESHIEK,U.S. 63,W Jct US 6 to SCL Tama,81330
ia_idot_20240117_81_c081_089_project_1,ia_idot_20240117_81_c081_089,FM-C081(89)--55-81,"On M50, from D36 N 3.26 miles to US20",HMA RESURFACING WITH MILLING,SAC,M50,"On M50, from D36 N 3.26 miles to US20",902850
ia_idot_20240117_81_c081_094_project_1,ia_idot_20240117_81_c081_094,BROS-C081(94)--8J-81,"On 160th St., Over Boyer Creek, East of Ira Ave., on the Sac / BV Co. Line, S2 T89N R37W",RCB CULVERT NEW - TWIN BOX,SAC,160TH STREET,"On 160th St., Over Boyer Creek, East of Ira Ave., on the Sac / BV Co. Line, S2 T89N R37W",297403.72
ia_idot_20240117_82_2808_180_project_1,ia_idot_20240117_82_2808_180,IMN-080-8(329)292--0E-82,Wisconsin Ave 1.4 mi W of IA 130,BRIDGE DECK OVERLAY,SCOTT,I-80,Wisconsin Ave 1.4 mi W of IA 130,423508.8
ia_idot_20240117_82_2808_180_project_2,ia_idot_20240117_82_2808_180,IMN-080-8(330)299--0E-82,Utica Ridge Rd 3.3 mi E of US 61,BRIDGE DECK OVERLAY,SCOTT,I-80,Utica Ridge Rd 3.3 mi E of US 61,276710.28
ia_idot_20240117_82_2808_180_project_3,ia_idot_20240117_82_2808_180,IMN-280-8(180)0--0E-82,I-280 EB over I-280 WB at I-80 Interchange,BRIDGE DECK OVERLAY,SCOTT,I-280,I-280 EB over I-280 WB at I-80 Interchange,703852.84
ia_idot_20240117_82_c082_065_project_1,ia_idot_20240117_82_c082_065,BRS-C082(65)--60-82,"On Y68, Over WAPSI RIVER OVERFLOW, S31 T81N RE4",BRIDGE REPLACEMENT - CCS,SCOTT,Y68,"On Y68, Over WAPSI RIVER OVERFLOW, S31 T81N RE4",2961328.63
ia_idot_20240117_85_0155_711_project_1,ia_idot_20240117_85_0155_711,STP-U-0155(711)--27-85,"In the city of Ames, On LINCOLN WAY, from Beedle Dr 0.4 miles to S Franklin Ave",PCC PAVEMENT - GRADE & REPLACE,STORY,LINCOLN WAY,"In the city of Ames, On LINCOLN WAY, from Beedle Dr 0.4 miles to S Franklin Ave",2584689.2
ia_idot_20240117_85_c085_179_project_1,ia_idot_20240117_85_c085_179,FM-C085(179)--55-85,"On S14, from Nevada City Limits S 9.6 miles to Polk County Line",HMA RESURFACING,STORY,S14,"On S14, from Nevada City Limits S 9.6 miles to Polk County Line",2047022.16
ia_idot_20240117_85_c085_180_project_1,ia_idot_20240117_85_c085_180,FM-C085(180)--55-85,"On 170th St., Over unnamed stream, S8 T84 R22",PIPE CULVERTS,STORY,170TH STREET,"On 170th St., Over unnamed stream, S8 T84 R22",99799.6
ia_idot_20240117_85_c085_181_project_1,ia_idot_20240117_85_c085_181,FM-C085(181)--55-85,"On R 61, from E18 N 0.9 miles to Story City",HMA RESURFACING,STORY,R61,"On R 61, from E18 N 0.9 miles to Story City",146716.65
ia_idot_20240117_86_0635_073_project_1,ia_idot_20240117_86_0635_073,NHSX-063-5(73)--3H-86,Poweshiek Co Line to SCL Tama,PCC OVERLAY,TAMA,U.S. 63,Poweshiek Co Line to SCL Tama,14018581.44
ia_idot_20240117_87_1481_037_project_1,ia_idot_20240117_87_1481_037,BRFN-148-1(37)--39-87,Middle Branch 102 River 2.8 mi S of Co Rd J20,BRIDGE DECK OVERLAY,TAYLOR,IOWA 148,Middle Branch 102 River 2.8 mi S of Co Rd J20,717730.5
ia_idot_20240117_88_0344_046_project_1,ia_idot_20240117_88_0344_046,BRFN-034-4(46)--39-88,Four Mile Creek 2 mi E of E Jct US 169,BRIDGE DECK OVERLAY,UNION,U.S. 34,Four Mile Creek 2 mi E of E Jct US 169,1182973.45
ia_idot_20240117_89_0025_502_project_1,ia_idot_20240117_89_0025_502,MB-002-5(502)224--77-89,Big Indian Creek 0.7 mi W of IA 1,BRIDGE PAINTING,VAN BUREN,IOWA 2,Big Indian Creek 0.7 mi W of IA 1,162645.59
ia_idot_20240117_92_c092_124_project_1,ia_idot_20240117_92_c092_124,FM-TSF-C092(122)--5B-92,"On G 36, from Redwood Ave E to Hwy 218",HMA PAVED SHOULDER - NEW,WASHINGTON,G36,"On G 36, from Redwood Ave E to Hwy 218",972830.36
ia_idot_20240117_92_c092_124_project_2,ia_idot_20240117_92_c092_124,HSIP-SWAP-C092(124)--FJ-92,"On G 36, from IA 1 E to Hwy 218",HMA PAVED SHOULDER - NEW,WASHINGTON,G36,"On G 36, from IA 1 E to Hwy 218",1248009.45
ia_idot_20240117_93_0026_047_project_1,ia_idot_20240117_93_0026_047,BRFN-002-6(47)--39-93,Jackson Creek 3.8 mi W of Co Rd S56,BRIDGE DECK OVERLAY,WAYNE,IOWA 2,Jackson Creek 3.8 mi W of Co Rd S56,864165.25
ia_idot_20240117_95_0692_715_project_1,ia_idot_20240117_95_0692_715,MP-069-2(715)220--76-95,"In Lake Mills, from East Main to 3rd Ave",HMA RESURFACING WITH MILLING,WINNEBAGO,U.S. 69,"In Lake Mills, from East Main to 3rd Ave",47305.85
ia_idot_20240117_95_c095_086_project_1,ia_idot_20240117_95_c095_086,BROS-C095(86)--8J-95,"On 200TH AVE, Over DRAINAGE DITCH, from 490th St N 0.5 miles to existing structure S16 T100 R23",PIPE CULVERTS,WINNEBAGO,200TH AVE.,"On 200TH AVE, Over DRAINAGE DITCH, from 490th St N 0.5 miles to existing structure S16 T100 R23",170847
ia_idot_20240117_97_0293_507_project_1,ia_idot_20240117_97_0293_507,MBIN-029-3(508)148--0M-97,Floyd Blvd 3.0 mi N of US 75 (NB),BRIDGE REPAIR,WOODBURY,I-29,Floyd Blvd 3.0 mi N of US 75 (NB),61810.8
ia_idot_20240117_97_0293_507_project_2,ia_idot_20240117_97_0293_507,MB-077-3(503)0--77-97,At the I-29 Interchange,BRIDGE REPAIR,WOODBURY,U.S. 77,At the I-29 Interchange,85643.95
ia_idot_20240117_97_0293_507_project_3,ia_idot_20240117_97_0293_507,MB-376-3(502)99--77-97,"BNSF RR, UP RR, and Taft St 0.1 mi S of Co Rd D12 (NB)",BRIDGE REPAIR,WOODBURY,IOWA 376,"BNSF RR, UP RR, and Taft St 0.1 mi S of Co Rd D12 (NB)",129645.9
ia_idot_20240117_97_0751_115_project_1,ia_idot_20240117_97_0751_115,NHSN-075-1(115)--2R-97,US 20 Interchange to N of Co Rd C80,MISCELLANEOUS,WOODBURY,U.S. 75,US 20 Interchange to N of Co Rd C80,491221
ia_idot_20240117_97_c097_149_project_1,ia_idot_20240117_97_c097_149,FM-C097(149)--55-97,"On D 50, from Hwy 31 E 2.4 miles to approx. 1000' east of L27 intersection",PCC PAVEMENT - NEW,WOODBURY,D50,"On D 50, from Hwy 31 E 2.4 miles to approx. 1000' east of L27 intersection",2472020.83
ia_idot_20240220_00_000t_070_project_1,ia_idot_20240220_00_000t_070,IMN-000-T(70)0--0E-00,Various Locations in District 6 (On-Call),GUARDRAIL REPAIR,STATEWIDE,VARIOUS LOCATION,Various Locations in District 6 (On-Call),820300
ia_idot_20240220_00_000t_305_project_1,ia_idot_20240220_00_000t_305,NHSN-000-T(305)--2R-00,"Various Locations Statewide, Type B Signing (FY 2024)",TRAFFIC SIGNS,STATEWIDE,VARIOUS LOCATIONS,"Various Locations Statewide, Type B Signing (FY 2024)",358622.5
ia_idot_20240220_05_c005_080_project_1,ia_idot_20240220_05_c005_080,FM-C005(80)--55-05,"On M 66, from Co Hwy F24 N 5 miles to 100th St. (Carroll Co. Line)",HMA PAVEMENT WIDENING / HMA RESURFACING,AUDUBON,M66,"On M 66, from Co Hwy F24 N 5 miles to 100th St. (Carroll Co. Line)",2641895.45
