project_id,project_name,agency_owner,state,county_region,work_type,estimate_let_date,source_id,project_number,project_location_raw,contractor,district,terrain,bid_count,awarded_bid_total,award_index
cdot_2024q4_itssw03_017,STATEWIDE,CDOT,CO,Colorado / CDOT District 0,Roadway,2024-08-01,cdot_cost_data_book_2024_q4,ITSSW03-017,ITSSW03-017 STATEWIDE,"MORTON ELECTRIC, INC.",0,M,1,3801536.05,96.59
cdot_2024q4_mtce076a_012,I-76 (I-70 TO LOCHBUIE),CDOT,CO,Colorado / CDOT District 1,Roadway,2024-03-21,cdot_cost_data_book_2024_q4,MTCE076A-012,MTCE076A-012 I-76 (I-70 TO LOCHBUIE),Barricade Holdings LLC,1,U,3,328376.56,85.29
cdot_2024q4_mtcer100_416,VARIOUS LOCATIONS IN REGION 1,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-05-16,cdot_cost_data_book_2024_q4,MTCER100-416,MTCER100-416 VARIOUS LOCATIONS IN REGION 1,"ROADSAFE TRAFFIC SYSTEMS, INC",1,U,1,15719271.04,98.25
cdot_2024q4_mtcer200_292,R2 VARIOUS HIGHWAYS AND COUNTI,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-07-18,cdot_cost_data_book_2024_q4,MTCER200-292,MTCER200-292 R2 VARIOUS HIGHWAYS AND COUNTI,"ROADSAFE TRAFFIC SYSTEMS, INC",2,U,1,2493062.25,85.97
cdot_2024q4_mtcer200_293,PIKES PEAK AREA,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-10-24,cdot_cost_data_book_2024_q4,MTCER200-293,MTCER200-293 PIKES PEAK AREA,"ROADSAFE TRAFFIC SYSTEMS, INC",2,R,5,1848479.00,97.29
cdot_2024q4_mtcer200_295,R2 VARIOUS HIGHWAYS AND COUNTI,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-10-24,cdot_cost_data_book_2024_q4,MTCER200-295,MTCER200-295 R2 VARIOUS HIGHWAYS AND COUNTI,"ROADSAFE TRAFFIC SYSTEMS, INC",2,R,3,497229.68,71.03
cdot_2024q4_mtcer200_298,REGION 2 I25 DIFFERENT LOCATIO,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-10-24,cdot_cost_data_book_2024_q4,MTCER200-298,MTCER200-298 REGION 2 I25 DIFFERENT LOCATIO,"WORK ZONE TRAFFIC CONTROL, LLC",2,U,2,637922.50,104.58
cdot_2024q4_mtcer300_277,REGION 3 ROUNDABOUT SIGN REPLA,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-06-20,cdot_cost_data_book_2024_q4,MTCER300-277,MTCER300-277 REGION 3 ROUNDABOUT SIGN REPLA,"WORK ZONE TRAFFIC CONTROL, LLC",3,M,3,566501.00,72.27
cdot_2024q4_mtcer300_281,REGION 3 ROUNDABOUT STRIPING A,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-03-14,cdot_cost_data_book_2024_q4,MTCER300-281,MTCER300-281 REGION 3 ROUNDABOUT STRIPING A,KOLBE STRIPING INC.,3,M,2,555495.00,125.40
cdot_2024q4_mtcer300_282,040A IN MOFFAT COUNTY,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-08-08,cdot_cost_data_book_2024_q4,MTCER300-282,MTCER300-282 040A IN MOFFAT COUNTY,A-1 CHIPSEAL COMPANY,6,M,4,436584.00,88.60
cdot_2024q4_mtcer300_283,REGION 3 I70 SUMMIT COUNTY MP,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-07-11,cdot_cost_data_book_2024_q4,MTCER300-283,MTCER300-283 REGION 3 I70 SUMMIT COUNTY MP,"KSK, LLC",6,M,3,505000.00,77.61
cdot_2024q4_mtcer300_286,"REGION 3 STENCILS ON HWY 50,13",CDOT,CO,Colorado / CDOT District 3,Roadway,2024-06-06,cdot_cost_data_book_2024_q4,MTCER300-286,"MTCER300-286 REGION 3 STENCILS ON HWY 50,13","ROADSAFE TRAFFIC SYSTEMS, INC",3,M,3,443963.20,89.02
cdot_2024q4_mtcer300_287,I-70 MP 180 - 205 MIDPOINT,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-07-11,cdot_cost_data_book_2024_q4,MTCER300-287,MTCER300-287 I-70 MP 180 - 205 MIDPOINT,"ROADSAFE TRAFFIC SYSTEMS, INC",3,M,1,1674070.30,99.56
cdot_2024q4_mtcer400_407,I25 FRONTAGE ROAD MP 254-270,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-07-11,cdot_cost_data_book_2024_q4,MTCER400-407,MTCER400-407 I25 FRONTAGE ROAD MP 254-270,COULSON EXCAVATING COMPANY,4,P,3,513949.00,74.72
cdot_2024q4_mtcer400_409,VARIOUS LOCATIONS THROUGHOUT R,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-10-03,cdot_cost_data_book_2024_q4,MTCER400-409,MTCER400-409 VARIOUS LOCATIONS THROUGHOUT R,"The Tendit Group, LLC",4,R,3,2893852.87,86.38
cdot_2024q4_mtcer500_225,REGION 5,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-02-01,cdot_cost_data_book_2024_q4,MTCER500-225,MTCER500-225 REGION 5,"ROADSAFE TRAFFIC SYSTEMS, INC",5,R,3,1887265.00,99.74
cdot_2024q4_nh_050a_039,LAS ANIMAS MP 397 TO MP 399.78,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-01-11,cdot_cost_data_book_2024_q4,NH 050A-039,NH 050A-039 LAS ANIMAS MP 397 TO MP 399.78,"TLM CONSTRUCTORS, INC.",2,P,2,6154075.80,87.92
cdot_2024q4_nh0243_092,US 24G - M.P 318.48 TO M.P 332,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-03-21,cdot_cost_data_book_2024_q4,NH0243-092,NH0243-092 US 24G - M.P 318.48 TO M.P 332,EDW. C. LEVY CO.,2,P,3,8656532.96,84.87
cdot_2024q4_nh050a_041,US 50C AND BAXTER RD,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-12-12,cdot_cost_data_book_2024_q4,NH050A-041,NH050A-041 US 50C AND BAXTER RD,"Siete, Inc.",2,U,3,839815.13,93.31
cdot_2024q4_nh0853_089,US 34 & US 85 INTERCHANGE IN G,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-08-29,cdot_cost_data_book_2024_q4,NH0853-089,NH0853-089 US 34 & US 85 INTERCHANGE IN G,"JALISCO INTERNATIONAL, INC.",4,U,6,2595839.00,97.96
cdot_2024q4_nh2854_154,US 285 FROM MP 220-228.8,CDOT,CO,Colorado / CDOT District 2,Roadway,2024-11-21,cdot_cost_data_book_2024_q4,NH2854-154,NH2854-154 US 285 FROM MP 220-228.8,"BRANNAN SAND AND GRAVEL, LLC",2,M,3,12489799.57,96.08
cdot_2024q4_nhpp_0241_068,US 24 BV SIGNALS BAYLOR DE PAU,CDOT,CO,Colorado / CDOT District 5,Roadway,2024-02-15,cdot_cost_data_book_2024_q4,NHPP 0241-068,NHPP 0241-068 US 24 BV SIGNALS BAYLOR DE PAU,"Bixby Electric, Inc.",5,U,2,1419926.30,108.88
cdot_2024q4_nhpp0072_031,BOULDER COUNTY,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-03-21,cdot_cost_data_book_2024_q4,NHPP0072-031,NHPP0072-031 BOULDER COUNTY,"BRANNAN SAND AND GRAVEL, LLC",4,U,4,3780958.22,78.77
cdot_2024q4_nhpp007a_027,SH7 FROM I-25 TO US85,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-06-06,cdot_cost_data_book_2024_q4,NHPP007A-027,NHPP007A-027 SH7 FROM I-25 TO US85,"ASPHALT SPECIALTIES CO., INC.",6,R,4,8951969.26,63.94
cdot_2024q4_nhpp0252_510,NB I-25 EAST OF THE NB REST ST,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-07-11,cdot_cost_data_book_2024_q4,NHPP0252-510,NHPP0252-510 NB I-25 EAST OF THE NB REST ST,"Capital Paving & Construction, LLC",1,M,5,2545678.10,82.12
cdot_2024q4_nhpp0252_516,I-25 FROM MP 208.208.063 TO 21,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-12-12,cdot_cost_data_book_2024_q4,NHPP0252-516,NHPP0252-516 I-25 FROM MP 208.208.063 TO 21,"ASPHALT SPECIALTIES CO., INC.",6,U,3,22026669.60,110.13
cdot_2024q4_nhpp0253_300,I-25 SEGMENT 5 (MP 242.5 TO 25,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-03-29,cdot_cost_data_book_2024_q4,NHPP0253-300,NHPP0253-300 I-25 SEGMENT 5 (MP 242.5 TO 25,"RLW/SEMA, A Joint Venture",4,U,1,27080430.33,100.01
cdot_2024q4_nhpp0253_301,I-25 SEGMENT 5 (MP 242.5 TO 25,CDOT,CO,Colorado / CDOT District 4,Roadway,2024-10-30,cdot_cost_data_book_2024_q4,NHPP0253-301,NHPP0253-301 I-25 SEGMENT 5 (MP 242.5 TO 25,"RLW/SEMA, A Joint Venture",4,U,1,86099399.42,107.01
cdot_2024q4_nhpp0502_095,US 50 ER CR-26,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-05-10,cdot_cost_data_book_2024_q4,NHPP0502-095,NHPP0502-095 US 50 ER CR-26,KIEWIT INFRASTRUCTURE CO.,3,M,1,5210290.65,100.00
cdot_2024q4_nhpp0502_097,SH 50 TO SH 149 CR-25,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-06-14,cdot_cost_data_book_2024_q4,NHPP0502-097,NHPP0502-097 SH 50 TO SH 149 CR-25,KIEWIT INFRASTRUCTURE CO.,3,M,1,6944059.40,110.50
cdot_2024q4_nhpp053a_004,SH 53 AND 62ND AVE,CDOT,CO,Colorado / CDOT District 6,Roadway,2024-03-01,cdot_cost_data_book_2024_q4,NHPP053A-004,NHPP053A-004 SH 53 AND 62ND AVE,"AMERICAN WEST CONSTRUCTION, LLC",6,U,2,124645.00,103.50
cdot_2024q4_nhpp0701_255,I70 Exit 37 East Resurfacing,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-03-14,cdot_cost_data_book_2024_q4,NHPP0701-255,NHPP0701-255 I70 Exit 37 East Resurfacing,"Kilgore Companies, LLC dba Elam Construc",3,R,2,8097729.83,83.74
cdot_2024q4_nhpp0702_417,I70 MP 179-192 EAGLE COUNTY,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-05-01,cdot_cost_data_book_2024_q4,NHPP0702-417,NHPP0702-417 I70 MP 179-192 EAGLE COUNTY,KIEWIT INFRASTRUCTURE CO.,3,M,1,109544524.30,100.00
cdot_2024q4_nhpp0703_515,I-70 TOP OF FLOYD HILL TO VETE,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-01-26,cdot_cost_data_book_2024_q4,NHPP0703-515,NHPP0703-515 I-70 TOP OF FLOYD HILL TO VETE,"KRAEMER NORTH AMERICA, LLC",1,M,1,99445094.69,99.87
cdot_2024q4_nhpp0703_516,I-70 TOP OF FLOYD HILL TO VETE,CDOT,CO,Colorado / CDOT District 1,Roadway,2024-06-25,cdot_cost_data_book_2024_q4,NHPP0703-516,NHPP0703-516 I-70 TOP OF FLOYD HILL TO VETE,"KRAEMER NORTH AMERICA, LLC",1,M,1,46780031.93,101.73
cdot_2024q4_nhpp070a_037,I-70B SOUTH OF ROOD,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-05-02,cdot_cost_data_book_2024_q4,NHPP070A-037,NHPP070A-037 I-70B SOUTH OF ROOD,"OLDCASTLE SW GROUP, INC.",3,U,1,19290622.35,103.24
cdot_2024q4_nhpp0821_117,SH 82 MM 77.0-85.3 IN LAKE COU,CDOT,CO,Colorado / CDOT District 3,Roadway,2024-11-07,cdot_cost_data_book_2024_q4,NHPP0821-117,NHPP0821-117 SH 82 MM 77.0-85.3 IN LAKE COU,"Kilgore Companies, LLC dba Elam Construc",3,M,2,4919411.35,75.67
