bid_tab_item_id,project_id,source_id,source_file,sheet_name,workbook_row,project_number,source_item_number,source_item_code,source_item_code_system,source_spec_raw,source_item_description,item_code,item_description,unit_raw,unit_normalized,quantity,engineer_estimate_unit_price,average_bid_unit_price,matched_agency_item_code,match_status,date_basis
fhu_ralston_yukon_garrison_20210205_row_0205,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,205,18-ST-40,198,COA 3.50,COA,COA 3.50,4' BENCH,622-00250,4' BENCH,EA,EACH,11.00,2700.00,2827.55,622-00250,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0206,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,206,18-ST-40,199,COA 3.59,COA,COA 3.59,"DISTRICT MARKER (INSPIRE, CELEBRATE, REMEMBER)",,"DISTRICT MARKER (INSPIRE, CELEBRATE, REMEMBER)",EA,EACH,3.00,22000.00,38256.02,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0207,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,207,18-ST-40,200,COA 3.60,COA,COA 3.60,"DISTRICT MARKER FOUNDATION (INSPIRE, CELEBRATE, REMEMBER)",601-01000,"DISTRICT MARKER FOUNDATION (INSPIRE, CELEBRATE, REMEMBER)",CY,CY,9.00,1000.00,2279.43,601-01000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0208,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,208,18-ST-40,201,COA 3.61,COA,COA 3.61,NEIGHBORHOOD MONUMENT,,NEIGHBORHOOD MONUMENT,EA,EACH,17.00,5000.00,3318.00,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0209,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,209,18-ST-40,202,COA 3.62,COA,COA 3.62,NEIGHBORHOOD MONUMENT FOUNDATION,601-01000,NEIGHBORHOOD MONUMENT FOUNDATION,CY,CY,11.00,1000.00,3970.92,601-01000,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0210,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,210,18-ST-40,203,COA 3.63,COA,COA 3.63,WOLFF PARK PLANTER WALL,,WOLFF PARK PLANTER WALL,LF,LF,40.00,500.00,364.93,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0211,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,211,18-ST-40,204,CDOT 623,CDOT,CDOT 623,IRRIGATION POINT OF CONNECTION,623-09905,IRRIGATION POINT OF CONNECTION,EA,EACH,4.00,32035.00,8579.58,623-09905,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0212,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,212,18-ST-40,205,CDOT 623,CDOT,CDOT 623,IRRIGATION TAP FEES,,IRRIGATION TAP FEES,SF,SF,21129.00,0.74,1.64,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0213,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,213,18-ST-40,206,CDOT 623,CDOT,CDOT 623,IRRIGATION WITHIN BEDS AND CORNER PLANTERS,,IRRIGATION WITHIN BEDS AND CORNER PLANTERS,SF,SF,20608.00,1.00,2.06,,unmatched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0214,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,214,18-ST-40,207,CDOT 623,CDOT,CDOT 623,IRRIGATION FOR TREE PITS,623-00156,IRRIGATION FOR TREE PITS,EA,EACH,20.00,150.00,147.15,623-00156,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0215,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,215,18-ST-40,208,COA 3.11,COA,COA 3.11,IRRIGATION MAINLINE,623-00604,IRRIGATION MAINLINE,LF,LF,5800.00,21.20,24.61,623-00604,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0216,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,216,18-ST-40,209,COA 3.11,COA,COA 3.11,IRRIGATION SLEEVES FOR MAINLINE,623-00604,IRRIGATION SLEEVES FOR MAINLINE,LF,LF,3850.00,21.20,12.95,623-00604,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0217,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,217,18-ST-40,210,COA 3.11,COA,COA 3.11,IRRIGATION SLEEVES FOR LATERALS - BEDS AND CORNER TREATMENTS,623-00604,IRRIGATION SLEEVES FOR LATERALS - BEDS AND CORNER TREATMENTS,LF,LF,4600.00,17.40,10.94,623-00604,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0218,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,218,18-ST-40,211,COA 3.11,COA,COA 3.11,IRRIGATION SLEEVES FOR LATERALS - TREE PITS,623-00604,IRRIGATION SLEEVES FOR LATERALS - TREE PITS,LF,LF,1550.00,17.40,11.64,623-00604,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0219,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,219,18-ST-40,212,COA 3.11,COA,COA 3.11,IRRIGATION LATERAL FOR BEDS AND CORNER TREATMENTS,623-00604,IRRIGATION LATERAL FOR BEDS AND CORNER TREATMENTS,LF,LF,6775.00,3.05,3.95,623-00604,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0220,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,220,18-ST-40,213,COA 3.11,COA,COA 3.11,IRRIGATION LATERAL FOR TREE PITS,623-00604,IRRIGATION LATERAL FOR TREE PITS,LF,LF,1700.00,3.05,3.96,623-00604,matched,2021-02-05
fhu_ralston_yukon_garrison_20210205_row_0221,fhu_bid_tab_ralston_yukon_garrison_2021_02_05_18_st_40,fhu_bid_tab_ralston_yukon_garrison_2021_02_05,Ralston_Rd_CDOT_reconciliation.xlsx,Bid Book + CDOT,221,18-ST-40,214,CDOT 623,CDOT,CDOT 623,IRRIGATION MODIFICATION FOR ADJACENT OWNERS,,IRRIGATION MODIFICATION FOR ADJACENT OWNERS,LS,L S,38.00,1200.00,1210.86,,unmatched,2021-02-05
