bidder_item_observation_id,bid_id,project_id,source_id,agency_item_code,description_raw,unit_raw,unit_normalized,quantity,unit_price,extended_price
fhu_arapahoe_big_dry_creek_20210924_row_0013_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00201,REMOVAL OF CURB,LF,LF,647.00,4.50,2911.50
fhu_arapahoe_big_dry_creek_20210924_row_0013_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00201,REMOVAL OF CURB,LF,LF,647.00,10.00,6470.00
fhu_arapahoe_big_dry_creek_20210924_row_0013_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00201,REMOVAL OF CURB,LF,LF,647.00,6.00,3882.00
fhu_arapahoe_big_dry_creek_20210924_row_0014_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,10.00,990.00
fhu_arapahoe_big_dry_creek_20210924_row_0014_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,17.80,1762.20
fhu_arapahoe_big_dry_creek_20210924_row_0014_zak_dirt,fhu_arapahoe_big_dry_creek_20210924_zak_dirt,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,16.00,1584.00
fhu_arapahoe_big_dry_creek_20210924_row_0014_flatiron,fhu_arapahoe_big_dry_creek_20210924_flatiron,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,13.00,1287.00
fhu_arapahoe_big_dry_creek_20210924_row_0014_acc,fhu_arapahoe_big_dry_creek_20210924_acc,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00202,REMOVAL OF GUTTER,LF,LF,99.00,13.00,1287.00
fhu_arapahoe_big_dry_creek_20210924_row_0015_hamon,fhu_arapahoe_big_dry_creek_20210924_hamon,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,1759.00,8.00,14072.00
fhu_arapahoe_big_dry_creek_20210924_row_0015_jalisco,fhu_arapahoe_big_dry_creek_20210924_jalisco,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24_ifb_21_09_02,fhu_bid_tab_arapahoe_big_dry_creek_2021_09_24,202-00203,REMOVAL OF CURB AND GUTTER,LF,LF,1759.00,9.10,16006.90
