contract_project_id,contract_id,project_number,project_control_number,project_name,work_type,county_region,route,location,project_award_amount
sd_sddot_20211201_item_005_project_001,sd_sddot_20211201_item_005,NH 0050(135)354,080F,"Mill, AC Resurfacing, Pipe Work","Mill, AC Resurfacing, Pipe Work",Bon Homme,,"SD50, SD50E, SD50W – Fm 1 W of Tyndall through Tabor",
sd_sddot_20211201_item_006_project_001,sd_sddot_20211201_item_006,BRO 8049(00),02EC,Structure & Approach Grading,Structure & Approach Grading,Miner,,Structure 5 S & 6.6 W of Howard over Rock Creek SN 49-094-180,
sd_sddot_20211201_item_007_project_001,sd_sddot_20211201_item_007,IM-EM 0908(97)362,05HQ,"PCC Pavement, Structures & Bridge Rehab","PCC Pavement, Structures & Bridge Rehab",McCook,,I90 WBL - Fm 2 W of the Salem Interchange to 2 W of Humboldt; I90 Str - 0.6 W of the US81 Interchange Over the W Fork of the Vermillion River; I90 Str - 2 E of the US81 Interchange Over 443 Ave,
sd_sddot_20211215_item_001_project_001,sd_sddot_20211215_item_001,"IM 0293(106)76, P 1400(16), P 1423(07), P 8050(81)","03RA, 05NF, 06Y0,","Modify Interchange, Urban Grading & PCC","Modify Interchange, Urban Grading & PCC",Minnehaha,,I29 - Exit 77 (41st Street Interchange) in Sioux Falls,
sd_sddot_20211215_item_002_project_001,sd_sddot_20211215_item_002,IM 0293(112)76,06VQ,"Remove Riprap, Modify Drainage, Pipe","Remove Riprap, Modify Drainage, Pipe",Minnehaha,,I29 - SBL Fm 57th St to 49th St in Sioux Falls,
sd_sddot_20211215_item_003_project_001,sd_sddot_20211215_item_003,CIP 11076( ),X05Q,Water & Sanitary Sewer,Water & Sanitary Sewer,Minnehaha,,41st Street In Sioux Falls - Fm W of Marion Rd to Shirley Ave,
sd_sddot_20211215_item_004_project_001,sd_sddot_20211215_item_004,BRF 6140(08),01DX,Structure (92' Prestressed Girder Bridge) & Approach Grading,Structure (92' Prestressed Girder Bridge) & Approach Grading,Tripp,,Structure 2.9 miles north of Witten over Cottonwood Creek,
sd_sddot_20211215_item_005_project_001,sd_sddot_20211215_item_005,NH 0212(182)187,05EN,"Mill, AC Resurfacing, Pipe work","Mill, AC Resurfacing, Pipe work","Dewey, Potter, Sully",,"US212 - Fm LaPlant to the W Jct of US83, SD1804 - Fm Agar Rd N to the W US212 Jct & Fm the E US212 Jct to West Whitlock",
sd_sddot_20211215_item_005_project_002,sd_sddot_20211215_item_005,P 1804(49)292,05X8,"Mill, AC Resurfacing, Pipe work","Mill, AC Resurfacing, Pipe work","Dewey, Potter, Sully",,"US212 - Fm LaPlant to the W Jct of US83, SD1804 - Fm Agar Rd N to the W US212 Jct & Fm the E US212 Jct to West Whitlock",
sd_sddot_20211215_item_006_project_001,sd_sddot_20211215_item_006,NH 0012(226)190,068D,"Mill, AC Resurfacing, Pipe Work","Mill, AC Resurfacing, Pipe Work","Corson, Dewey, Walworth",,US12 & US12 EBL & WBL - Fm Mobridge E City Limits to S of Selby; SD 20 - Fm Trail City to US12,
