letting_id,source_id,state,agency_id,letting_date,letting_label
sd_sddot_2021_03_17,sd_sddot_bid_tabs_2021_03_17,SD,sd_sddot,2021-03-17,"March 17, 2021"
sd_sddot_2021_04_14,sd_sddot_bid_tabs_2021_04_14,SD,sd_sddot,2021-04-14,"April 14, 2021"
sd_sddot_2021_04_21,sd_sddot_bid_tabs_2021_04_21,SD,sd_sddot,2021-04-21,"April 21, 2021"
sd_sddot_2021_05_05,sd_sddot_bid_tabs_2021_05_05,SD,sd_sddot,2021-05-05,"May 5, 2021"
sd_sddot_2021_05_19,sd_sddot_bid_tabs_2021_05_19,SD,sd_sddot,2021-05-19,"May 19, 2021"
sd_sddot_2021_06_02,sd_sddot_bid_tabs_2021_06_02,SD,sd_sddot,2021-06-02,"June 2, 2021"
sd_sddot_2021_06_16,sd_sddot_bid_tabs_2021_06_16,SD,sd_sddot,2021-06-16,"June 16, 2021"
sd_sddot_2021_07_21,sd_sddot_bid_tabs_2021_07_21,SD,sd_sddot,2021-07-21,"July 21, 2021"
sd_sddot_2021_08_18,sd_sddot_bid_tabs_2021_08_18,SD,sd_sddot,2021-08-18,"August 18, 2021"
sd_sddot_2021_09_01,sd_sddot_bid_tabs_2021_09_01,SD,sd_sddot,2021-09-01,"September 1, 2021"
sd_sddot_2021_09_15,sd_sddot_bid_tabs_2021_09_15,SD,sd_sddot,2021-09-15,"September 15, 2021"
sd_sddot_2021_10_06,sd_sddot_bid_tabs_2021_10_06,SD,sd_sddot,2021-10-06,"October 6, 2021"
sd_sddot_2021_10_20,sd_sddot_bid_tabs_2021_10_20,SD,sd_sddot,2021-10-20,"October 20, 2021"
sd_sddot_2021_11_03,sd_sddot_bid_tabs_2021_11_03,SD,sd_sddot,2021-11-03,"November 3, 2021"
sd_sddot_2021_11_17,sd_sddot_bid_tabs_2021_11_17,SD,sd_sddot,2021-11-17,"November 17, 2021"
sd_sddot_2021_12_01,sd_sddot_bid_tabs_2021_12_01,SD,sd_sddot,2021-12-01,"December 1, 2021"
sd_sddot_2021_12_15,sd_sddot_bid_tabs_2021_12_15,SD,sd_sddot,2021-12-15,"December 15, 2021"
sd_sddot_2022_01_19,sd_sddot_bid_tabs_2022_01_19,SD,sd_sddot,2022-01-19,"January 19, 2022"
sd_sddot_2022_02_02,sd_sddot_bid_tabs_2022_02_02,SD,sd_sddot,2022-02-02,"February 2, 2022"
sd_sddot_2022_02_16,sd_sddot_bid_tabs_2022_02_16,SD,sd_sddot,2022-02-16,"February 16, 2022"
sd_sddot_2022_03_02,sd_sddot_bid_tabs_2022_03_02,SD,sd_sddot,2022-03-02,"March 2, 2022"
sd_sddot_2022_03_16,sd_sddot_bid_tabs_2022_03_16,SD,sd_sddot,2022-03-16,"March 16, 2022"
sd_sddot_2022_04_06,sd_sddot_bid_tabs_2022_04_06,SD,sd_sddot,2022-04-06,"April 6, 2022"
sd_sddot_2022_04_20,sd_sddot_bid_tabs_2022_04_20,SD,sd_sddot,2022-04-20,"April 20, 2022"
sd_sddot_2022_05_04,sd_sddot_bid_tabs_2022_05_04,SD,sd_sddot,2022-05-04,"May 4, 2022"
sd_sddot_2022_05_11,sd_sddot_bid_tabs_2022_05_11,SD,sd_sddot,2022-05-11,"May 11, 2022"
sd_sddot_2022_05_18,sd_sddot_bid_tabs_2022_05_18,SD,sd_sddot,2022-05-18,"May 18, 2022"
sd_sddot_2022_06_01,sd_sddot_bid_tabs_2022_06_01,SD,sd_sddot,2022-06-01,"June 1, 2022"
sd_sddot_2022_06_15,sd_sddot_bid_tabs_2022_06_15,SD,sd_sddot,2022-06-15,"June 15, 2022"
sd_sddot_2022_07_20,sd_sddot_bid_tabs_2022_07_20,SD,sd_sddot,2022-07-20,"July 20, 2022"
sd_sddot_2022_08_17,sd_sddot_bid_tabs_2022_08_17,SD,sd_sddot,2022-08-17,"August 17, 2022"
sd_sddot_2022_09_07,sd_sddot_bid_tabs_2022_09_07,SD,sd_sddot,2022-09-07,"September 7, 2022"
sd_sddot_2022_09_21,sd_sddot_bid_tabs_2022_09_21,SD,sd_sddot,2022-09-21,"September 21, 2022"
sd_sddot_2022_10_05,sd_sddot_bid_tabs_2022_10_05,SD,sd_sddot,2022-10-05,"October 5, 2022"
sd_sddot_2022_10_19,sd_sddot_bid_tabs_2022_10_19,SD,sd_sddot,2022-10-19,"October 19, 2022"
sd_sddot_2022_10_21,sd_sddot_bid_tabs_2022_10_21,SD,sd_sddot,2022-10-21,"October 21, 2022"
sd_sddot_2022_11_02,sd_sddot_bid_tabs_2022_11_02,SD,sd_sddot,2022-11-02,"November 2, 2022"
sd_sddot_2022_11_16,sd_sddot_bid_tabs_2022_11_16,SD,sd_sddot,2022-11-16,"November 16, 2022"
sd_sddot_2022_12_07,sd_sddot_bid_tabs_2022_12_07,SD,sd_sddot,2022-12-07,"December 7, 2022"
sd_sddot_2022_12_14,sd_sddot_bid_tabs_2022_12_14,SD,sd_sddot,2022-12-14,"December 14, 2022"
sd_sddot_2023_01_11,sd_sddot_bid_tabs_2023_01_11,SD,sd_sddot,2023-01-11,"January 11, 2023"
sd_sddot_2023_02_01,sd_sddot_bid_tabs_2023_02_01,SD,sd_sddot,2023-02-01,"Februray 1, 2023"
sd_sddot_2023_02_15,sd_sddot_bid_tabs_2023_02_15,SD,sd_sddot,2023-02-15,"February, 15 2023"
sd_sddot_2023_03_01,sd_sddot_bid_tabs_2023_03_01,SD,sd_sddot,2023-03-01,"March 1, 2023"
sd_sddot_2023_03_22,sd_sddot_bid_tabs_2023_03_22,SD,sd_sddot,2023-03-22,"March 22, 2023"
sd_sddot_2023_04_05,sd_sddot_bid_tabs_2023_04_05,SD,sd_sddot,2023-04-05,"April 5, 2023"
sd_sddot_2023_04_19,sd_sddot_bid_tabs_2023_04_19,SD,sd_sddot,2023-04-19,"April 19, 2023"
sd_sddot_2023_05_03,sd_sddot_bid_tabs_2023_05_03,SD,sd_sddot,2023-05-03,"May 3, 2023"
sd_sddot_2023_05_17,sd_sddot_bid_tabs_2023_05_17,SD,sd_sddot,2023-05-17,"May 17, 2023"
sd_sddot_2023_06_07,sd_sddot_bid_tabs_2023_06_07,SD,sd_sddot,2023-06-07,"June 7, 2023"
sd_sddot_2023_06_21,sd_sddot_bid_tabs_2023_06_21,SD,sd_sddot,2023-06-21,"June 21, 2023"
sd_sddot_2023_07_19,sd_sddot_bid_tabs_2023_07_19,SD,sd_sddot,2023-07-19,"July 19, 2023"
sd_sddot_2023_08_10,sd_sddot_bid_tabs_2023_08_10,SD,sd_sddot,2023-08-10,"August 10, 2023"
sd_sddot_2023_08_16,sd_sddot_bid_tabs_2023_08_16,SD,sd_sddot,2023-08-16,"August 16, 2023"
sd_sddot_2023_09_06,sd_sddot_bid_tabs_2023_09_06,SD,sd_sddot,2023-09-06,"September 6, 2023"
sd_sddot_2023_09_20,sd_sddot_bid_tabs_2023_09_20,SD,sd_sddot,2023-09-20,"September 20, 2023"
sd_sddot_2023_10_04,sd_sddot_bid_tabs_2023_10_04,SD,sd_sddot,2023-10-04,"October 4, 2023"
sd_sddot_2023_10_18,sd_sddot_bid_tabs_2023_10_18,SD,sd_sddot,2023-10-18,"October 18, 2023"
sd_sddot_2023_11_01,sd_sddot_bid_tabs_2023_11_01,SD,sd_sddot,2023-11-01,"November 1, 2023"
sd_sddot_2023_11_08,sd_sddot_bid_tabs_2023_11_08,SD,sd_sddot,2023-11-08,"November 8, 2023"
sd_sddot_2023_11_15,sd_sddot_bid_tabs_2023_11_15,SD,sd_sddot,2023-11-15,"November 15, 2023"
sd_sddot_2023_12_06,sd_sddot_bid_tabs_2023_12_06,SD,sd_sddot,2023-12-06,"December 6, 2023"
sd_sddot_2023_12_13,sd_sddot_bid_tabs_2023_12_13,SD,sd_sddot,2023-12-13,"December 13, 2023"
sd_sddot_2024_01_17,sd_sddot_bid_tabs_2024_01_17,SD,sd_sddot,2024-01-17,"January 17, 2024"
sd_sddot_2024_02_07,sd_sddot_bid_tabs_2024_02_07,SD,sd_sddot,2024-02-07,"February 7, 2024"
sd_sddot_2024_02_27,sd_sddot_bid_tabs_2024_02_27,SD,sd_sddot,2024-02-27,"Februrary 27, 2024"
sd_sddot_2024_03_06,sd_sddot_bid_tabs_2024_03_06,SD,sd_sddot,2024-03-06,"March 6, 2024"
sd_sddot_2024_03_20,sd_sddot_bid_tabs_2024_03_20,SD,sd_sddot,2024-03-20,"March 20, 2024"
sd_sddot_2024_04_04,sd_sddot_bid_tabs_2024_04_04,SD,sd_sddot,2024-04-04,"April 4, 2024"
sd_sddot_2024_04_17,sd_sddot_bid_tabs_2024_04_17,SD,sd_sddot,2024-04-17,"April 17, 2024"
sd_sddot_2024_05_01,sd_sddot_bid_tabs_2024_05_01,SD,sd_sddot,2024-05-01,"May 1, 2024"
sd_sddot_2024_05_15,sd_sddot_bid_tabs_2024_05_15,SD,sd_sddot,2024-05-15,"May 15, 2024"
sd_sddot_2024_06_05,sd_sddot_bid_tabs_2024_06_05,SD,sd_sddot,2024-06-05,"June 5, 2024"
sd_sddot_2024_06_26,sd_sddot_bid_tabs_2024_06_26,SD,sd_sddot,2024-06-26,"June 26, 2024"
