catalog_row_id,agency_item_id,agency_item_code,description,unit_raw,unit_normalized,specification_year,specification_reference,item_status,source_id,source_page,source_locator
ne_ndot_catalog_0005.10,ne_ndot_0005.10,0005.10,TRAFFIC CONTROL MANAGEMENT,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0005.10
ne_ndot_catalog_0005.50,ne_ndot_0005.50,0005.50,TRAFFIC CONTROL MANAGEMENT ASSESSMENT,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0005.50
ne_ndot_catalog_0005.90,ne_ndot_0005.90,0005.90,SANDBLASTING,LIN FT,LF,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0005.90
ne_ndot_catalog_0006.00,ne_ndot_0006.00,0006.00,INCENTIVE - HEAD-TO-HEAD DAY,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0006.00
ne_ndot_catalog_0006.02,ne_ndot_0006.02,0006.02,DISINCENTIVE - HEAD-TO-HEAD DAY,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0006.02
ne_ndot_catalog_0006.04,ne_ndot_0006.04,0006.04,LANE CLOSURE,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0006.04
ne_ndot_catalog_0006.06,ne_ndot_0006.06,0006.06,INSTALL LANE CLOSURE,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0006.06
ne_ndot_catalog_0006.08,ne_ndot_0006.08,0006.08,REMOVE LANE CLOSURE,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0006.08
ne_ndot_catalog_0006.09,ne_ndot_0006.09,0006.09,INSTALLATION OF LANE CLOSURE,EACH,EACH,07,,current,ne_ndot_english_standard_item_list_2010,6,stditeme06252010.pdf#page=6;item=0006.09
ne_ndot_catalog_0006.10,ne_ndot_0006.10,0006.10,LANE CLOSURE,DAY,DAY,07,,current,ne_ndot_english_standard_item_list_2010,7,stditeme06252010.pdf#page=7;item=0006.10
